time,.data
2019/05/17/23:55:00.644862,219
2019/05/17/23:55:00.661827,220
2019/05/17/23:55:00.681092,222
2019/05/17/23:55:00.698748,222
2019/05/17/23:55:00.715964,222
2019/05/17/23:55:00.733932,222
2019/05/17/23:55:00.751997,223
2019/05/17/23:55:00.770282,223
2019/05/17/23:55:00.788982,224
2019/05/17/23:55:00.807275,224
2019/05/17/23:55:00.824421,224
2019/05/17/23:55:00.842725,224
2019/05/17/23:55:00.860811,224
2019/05/17/23:55:00.879184,224
2019/05/17/23:55:00.896328,224
2019/05/17/23:55:00.913479,224
2019/05/17/23:55:00.932917,225
2019/05/17/23:55:00.950454,226
2019/05/17/23:55:00.968764,226
2019/05/17/23:55:00.989779,227
2019/05/17/23:55:01.006705,227
2019/05/17/23:55:01.023728,227
2019/05/17/23:55:01.040941,227
2019/05/17/23:55:01.058273,227
2019/05/17/23:55:01.077079,226
2019/05/17/23:55:01.093953,226
2019/05/17/23:55:01.112888,227
2019/05/17/23:55:01.130002,227
2019/05/17/23:55:01.147833,225
2019/05/17/23:55:01.165937,225
2019/05/17/23:55:01.185244,225
2019/05/17/23:55:01.202451,225
2019/05/17/23:55:01.220844,224
2019/05/17/23:55:01.238850,222
2019/05/17/23:55:01.256158,222
2019/05/17/23:55:01.274868,222
2019/05/17/23:55:01.292103,222
2019/05/17/23:55:01.308833,222
2019/05/17/23:55:01.326541,220
2019/05/17/23:55:01.344878,220
2019/05/17/23:55:01.361984,220
2019/05/17/23:55:01.380076,220
2019/05/17/23:55:01.398070,220
2019/05/17/23:55:01.416786,221
2019/05/17/23:55:01.434889,221
2019/05/17/23:55:01.450949,221
2019/05/17/23:55:01.470793,221
2019/05/17/23:55:01.486985,221
2019/05/17/23:55:01.505197,222
2019/05/17/23:55:01.524509,222
2019/05/17/23:55:01.542819,221
2019/05/17/23:55:01.560843,222
2019/05/17/23:55:01.579285,223
2019/05/17/23:55:01.595874,221
2019/05/17/23:55:01.613923,221
2019/05/17/23:55:01.632087,220
2019/05/17/23:55:01.650721,222
2019/05/17/23:55:01.667764,222
2019/05/17/23:55:01.686965,222
2019/05/17/23:55:01.699717,222
2019/05/17/23:55:01.718635,221
2019/05/17/23:55:01.736442,222
2019/05/17/23:55:01.754198,221
2019/05/17/23:55:01.772105,221
2019/05/17/23:55:01.790313,221
2019/05/17/23:55:01.807105,221
2019/05/17/23:55:01.824704,222
2019/05/17/23:55:01.843836,222
2019/05/17/23:55:01.859961,222
2019/05/17/23:55:01.877758,222
2019/05/17/23:55:01.894794,222
2019/05/17/23:55:01.912570,223
2019/05/17/23:55:01.929974,223
2019/05/17/23:55:01.947196,223
2019/05/17/23:55:01.965947,222
2019/05/17/23:55:01.983119,221
2019/05/17/23:55:02.000862,223
2019/05/17/23:55:02.018879,223
2019/05/17/23:55:02.036986,223
2019/05/17/23:55:02.055236,222
2019/05/17/23:55:02.072118,222
2019/05/17/23:55:02.085956,222
2019/05/17/23:55:02.103698,221
2019/05/17/23:55:02.120767,223
2019/05/17/23:55:02.138883,222
2019/05/17/23:55:02.155931,223
2019/05/17/23:55:02.174240,223
2019/05/17/23:55:02.191133,223
2019/05/17/23:55:02.209421,223
2019/05/17/23:55:02.227433,224
2019/05/17/23:55:02.246856,224
2019/05/17/23:55:02.263999,224
2019/05/17/23:55:02.281189,224
2019/05/17/23:55:02.299701,224
2019/05/17/23:55:02.318017,223
2019/05/17/23:55:02.335120,223
2019/05/17/23:55:02.351988,223
2019/05/17/23:55:02.371308,223
2019/05/17/23:55:02.388257,224
2019/05/17/23:55:02.405878,221
2019/05/17/23:55:02.424284,221
2019/05/17/23:55:02.442494,218
2019/05/17/23:55:02.461777,218
2019/05/17/23:55:02.479045,218
2019/05/17/23:55:02.495055,215
2019/05/17/23:55:02.513875,215
2019/05/17/23:55:02.532084,213
2019/05/17/23:55:02.548851,214
2019/05/17/23:55:02.565972,215
2019/05/17/23:55:02.584207,215
2019/05/17/23:55:02.602430,218
2019/05/17/23:55:02.619474,218
2019/05/17/23:55:02.638731,218
2019/05/17/23:55:02.657004,218
2019/05/17/23:55:02.673906,219
2019/05/17/23:55:02.690808,219
2019/05/17/23:55:02.707755,219
2019/05/17/23:55:02.724886,219
2019/05/17/23:55:02.743515,221
2019/05/17/23:55:02.761311,223
2019/05/17/23:55:02.779524,223
2019/05/17/23:55:02.796138,223
2019/05/17/23:55:02.814500,223
2019/05/17/23:55:02.832478,223
2019/05/17/23:55:02.849668,224
2019/05/17/23:55:02.866755,224
2019/05/17/23:55:02.883760,224
2019/05/17/23:55:02.902877,224
2019/05/17/23:55:02.919890,225
2019/05/17/23:55:02.937177,225
2019/05/17/23:55:02.954963,224
2019/05/17/23:55:02.972053,224
2019/05/17/23:55:02.988965,224
2019/05/17/23:55:03.008513,224
2019/05/17/23:55:03.027661,224
2019/05/17/23:55:03.044429,224
2019/05/17/23:55:03.061470,224
2019/05/17/23:55:03.080703,225
2019/05/17/23:55:03.097758,225
2019/05/17/23:55:03.116001,225
2019/05/17/23:55:03.134698,222
2019/05/17/23:55:03.151477,223
2019/05/17/23:55:03.168746,223
2019/05/17/23:55:03.184785,223
2019/05/17/23:55:03.203000,223
2019/05/17/23:55:03.220714,219
2019/05/17/23:55:03.239095,219
2019/05/17/23:55:03.257512,219
2019/05/17/23:55:03.274816,219
2019/05/17/23:55:03.291901,220
2019/05/17/23:55:03.309818,218
2019/05/17/23:55:03.328397,218
2019/05/17/23:55:03.345488,218
2019/05/17/23:55:03.364491,218
2019/05/17/23:55:03.382811,219
2019/05/17/23:55:03.400794,219
2019/05/17/23:55:03.418652,219
2019/05/17/23:55:03.436507,220
2019/05/17/23:55:03.453967,220
2019/05/17/23:55:03.472729,220
2019/05/17/23:55:03.489838,222
2019/05/17/23:55:03.508025,222
2019/05/17/23:55:03.525191,223
2019/05/17/23:55:03.545563,223
2019/05/17/23:55:03.562501,223
2019/05/17/23:55:03.580729,223
2019/05/17/23:55:03.597557,223
2019/05/17/23:55:03.615738,224
2019/05/17/23:55:03.635023,224
2019/05/17/23:55:03.651961,225
2019/05/17/23:55:03.670033,225
2019/05/17/23:55:03.688127,225
2019/05/17/23:55:03.703977,225
2019/05/17/23:55:03.720818,225
2019/05/17/23:55:03.739959,225
2019/05/17/23:55:03.758060,225
2019/05/17/23:55:03.776110,225
2019/05/17/23:55:03.794123,226
2019/05/17/23:55:03.811305,226
2019/05/17/23:55:03.828924,226
2019/05/17/23:55:03.845091,226
2019/05/17/23:55:03.862222,225
2019/05/17/23:55:03.879328,225
2019/05/17/23:55:03.898646,225
2019/05/17/23:55:03.916835,225
2019/05/17/23:55:03.933341,225
2019/05/17/23:55:03.952466,222
2019/05/17/23:55:03.971051,222
2019/05/17/23:55:03.987919,220
2019/05/17/23:55:04.005246,220
2019/05/17/23:55:04.023551,220
2019/05/17/23:55:04.041715,217
2019/05/17/23:55:04.058818,218
2019/05/17/23:55:04.075860,218
2019/05/17/23:55:04.094185,218
2019/05/17/23:55:04.111156,218
2019/05/17/23:55:04.131547,218
2019/05/17/23:55:04.149546,218
2019/05/17/23:55:04.168755,218
2019/05/17/23:55:04.186507,218
2019/05/17/23:55:04.204555,218
2019/05/17/23:55:04.222653,219
2019/05/17/23:55:04.239756,219
2019/05/17/23:55:04.257942,220
2019/05/17/23:55:04.276131,220
2019/05/17/23:55:04.294342,220
2019/05/17/23:55:04.312363,220
2019/05/17/23:55:04.329257,221
2019/05/17/23:55:04.347357,220
2019/05/17/23:55:04.364096,221
2019/05/17/23:55:04.382203,220
2019/05/17/23:55:04.400242,222
2019/05/17/23:55:04.418567,222
2019/05/17/23:55:04.435678,222
2019/05/17/23:55:04.451946,222
2019/05/17/23:55:04.470176,223
2019/05/17/23:55:04.488400,223
2019/05/17/23:55:04.506799,223
2019/05/17/23:55:04.520461,223
2019/05/17/23:55:04.540916,223
2019/05/17/23:55:04.558900,223
2019/05/17/23:55:04.575925,223
2019/05/17/23:55:04.593744,222
2019/05/17/23:55:04.612518,222
2019/05/17/23:55:04.629536,222
2019/05/17/23:55:04.646077,222
2019/05/17/23:55:04.664376,222
2019/05/17/23:55:04.681491,221
2019/05/17/23:55:04.698676,221
2019/05/17/23:55:04.716954,220
2019/05/17/23:55:04.733847,220
2019/05/17/23:55:04.750838,220
2019/05/17/23:55:04.768091,218
2019/05/17/23:55:04.785191,219
2019/05/17/23:55:04.802283,221
2019/05/17/23:55:04.820765,220
2019/05/17/23:55:04.839810,221
2019/05/17/23:55:04.857058,219
2019/05/17/23:55:04.873945,219
2019/05/17/23:55:04.891230,219
2019/05/17/23:55:04.908103,219
2019/05/17/23:55:04.925031,220
2019/05/17/23:55:04.942064,220
2019/05/17/23:55:04.960300,221
2019/05/17/23:55:04.978658,221
2019/05/17/23:55:04.995376,221
2019/05/17/23:55:05.013953,223
2019/05/17/23:55:05.031927,222
2019/05/17/23:55:05.049247,222
2019/05/17/23:55:05.067084,220
2019/05/17/23:55:05.084374,221
2019/05/17/23:55:05.102653,221
2019/05/17/23:55:05.119492,219
2019/05/17/23:55:05.136494,219
2019/05/17/23:55:05.155468,217
2019/05/17/23:55:05.172796,217
2019/05/17/23:55:05.189800,218
2019/05/17/23:55:05.207972,216
2019/05/17/23:55:05.225157,217
2019/05/17/23:55:05.244072,215
2019/05/17/23:55:05.260915,216
2019/05/17/23:55:05.279975,216
2019/05/17/23:55:05.297721,216
2019/05/17/23:55:05.314673,216
2019/05/17/23:55:05.331521,216
2019/05/17/23:55:05.348001,217
2019/05/17/23:55:05.366564,218
2019/05/17/23:55:05.383549,220
2019/05/17/23:55:05.401859,220
2019/05/17/23:55:05.418824,220
2019/05/17/23:55:05.436823,221
2019/05/17/23:55:05.454915,221
2019/05/17/23:55:05.472074,220
2019/05/17/23:55:05.489143,220
2019/05/17/23:55:05.506653,221
2019/05/17/23:55:05.523903,221
2019/05/17/23:55:05.541776,221
2019/05/17/23:55:05.560925,221
2019/05/17/23:55:05.579193,222
2019/05/17/23:55:05.597155,222
2019/05/17/23:55:05.615376,222
2019/05/17/23:55:05.632361,222
2019/05/17/23:55:05.649426,222
2019/05/17/23:55:05.668592,222
2019/05/17/23:55:05.685779,222
2019/05/17/23:55:05.702004,222
2019/05/17/23:55:05.719139,224
2019/05/17/23:55:05.739594,225
2019/05/17/23:55:05.757778,225
2019/05/17/23:55:05.776427,226
2019/05/17/23:55:05.793309,225
2019/05/17/23:55:05.810833,225
2019/05/17/23:55:05.827371,225
2019/05/17/23:55:05.846544,224
2019/05/17/23:55:05.864600,225
2019/05/17/23:55:05.882022,221
2019/05/17/23:55:05.898092,221
2019/05/17/23:55:05.911559,221
2019/05/17/23:55:05.931044,218
2019/05/17/23:55:05.947692,219
2019/05/17/23:55:05.965743,219
2019/05/17/23:55:05.983974,219
2019/05/17/23:55:06.001023,220
2019/05/17/23:55:06.018894,217
2019/05/17/23:55:06.035887,218
2019/05/17/23:55:06.054063,218
2019/05/17/23:55:06.072216,218
2019/05/17/23:55:06.089415,218
2019/05/17/23:55:06.108617,218
2019/05/17/23:55:06.125530,219
2019/05/17/23:55:06.142678,219
2019/05/17/23:55:06.161901,219
2019/05/17/23:55:06.179746,219
2019/05/17/23:55:06.198103,220
2019/05/17/23:55:06.215392,220
2019/05/17/23:55:06.232421,221
2019/05/17/23:55:06.249877,221
