time,.data
2019/05/17/23:58:01.291779,134
2019/05/17/23:58:01.308522,134
2019/05/17/23:58:01.327732,134
2019/05/17/23:58:01.344784,134
2019/05/17/23:58:01.361922,133
2019/05/17/23:58:01.375819,133
2019/05/17/23:58:01.394675,133
2019/05/17/23:58:01.411782,133
2019/05/17/23:58:01.429451,133
2019/05/17/23:58:01.446840,134
2019/05/17/23:58:01.463921,133
2019/05/17/23:58:01.481642,134
2019/05/17/23:58:01.499351,133
2019/05/17/23:58:01.516049,132
2019/05/17/23:58:01.533525,135
2019/05/17/23:58:01.550583,135
2019/05/17/23:58:01.567712,134
2019/05/17/23:58:01.584833,134
2019/05/17/23:58:01.604229,134
2019/05/17/23:58:01.621410,136
2019/05/17/23:58:01.638390,136
2019/05/17/23:58:01.656521,136
2019/05/17/23:58:01.673770,138
2019/05/17/23:58:01.690627,137
2019/05/17/23:58:01.708625,138
2019/05/17/23:58:01.727258,138
2019/05/17/23:58:01.744607,137
2019/05/17/23:58:01.761734,137
2019/05/17/23:58:01.778846,137
2019/05/17/23:58:01.795771,136
2019/05/17/23:58:01.813771,135
2019/05/17/23:58:01.829562,135
2019/05/17/23:58:01.847760,134
2019/05/17/23:58:01.865846,134
2019/05/17/23:58:01.883668,134
2019/05/17/23:58:01.901659,134
2019/05/17/23:58:01.920453,134
2019/05/17/23:58:01.938645,134
2019/05/17/23:58:01.955700,134
2019/05/17/23:58:01.972934,134
2019/05/17/23:58:01.990602,133
2019/05/17/23:58:02.008475,133
2019/05/17/23:58:02.026452,133
2019/05/17/23:58:02.044452,133
2019/05/17/23:58:02.061782,133
2019/05/17/23:58:02.079709,133
2019/05/17/23:58:02.098033,133
2019/05/17/23:58:02.114887,133
2019/05/17/23:58:02.133939,133
2019/05/17/23:58:02.150705,133
2019/05/17/23:58:02.167753,133
2019/05/17/23:58:02.184784,132
2019/05/17/23:58:02.201953,132
2019/05/17/23:58:02.220396,133
2019/05/17/23:58:02.238498,132
2019/05/17/23:58:02.255858,133
2019/05/17/23:58:02.272815,133
2019/05/17/23:58:02.290652,133
2019/05/17/23:58:02.312028,136
2019/05/17/23:58:02.330600,136
2019/05/17/23:58:02.347505,139
2019/05/17/23:58:02.364856,139
2019/05/17/23:58:02.380985,139
2019/05/17/23:58:02.398974,141
2019/05/17/23:58:02.417659,141
2019/05/17/23:58:02.434474,143
2019/05/17/23:58:02.452640,142
2019/05/17/23:58:02.470710,142
2019/05/17/23:58:02.487695,143
2019/05/17/23:58:02.507068,143
2019/05/17/23:58:02.525261,142
2019/05/17/23:58:02.544541,142
2019/05/17/23:58:02.561703,142
2019/05/17/23:58:02.578906,139
2019/05/17/23:58:02.596904,139
2019/05/17/23:58:02.614036,138
2019/05/17/23:58:02.633187,138
2019/05/17/23:58:02.650548,138
2019/05/17/23:58:02.667308,137
2019/05/17/23:58:02.684745,137
2019/05/17/23:58:02.701634,136
2019/05/17/23:58:02.720451,136
2019/05/17/23:58:02.738080,136
2019/05/17/23:58:02.755019,136
2019/05/17/23:58:02.772206,135
2019/05/17/23:58:02.790198,136
2019/05/17/23:58:02.808337,135
2019/05/17/23:58:02.825083,135
2019/05/17/23:58:02.843261,135
2019/05/17/23:58:02.860345,134
2019/05/17/23:58:02.878713,133
2019/05/17/23:58:02.896045,133
2019/05/17/23:58:02.914093,133
2019/05/17/23:58:02.931269,133
2019/05/17/23:58:02.948213,132
2019/05/17/23:58:02.966320,133
2019/05/17/23:58:02.984373,133
2019/05/17/23:58:03.001315,132
2019/05/17/23:58:03.019492,132
2019/05/17/23:58:03.036044,133
2019/05/17/23:58:03.053498,132
2019/05/17/23:58:03.070334,132
2019/05/17/23:58:03.089609,132
2019/05/17/23:58:03.107700,132
2019/05/17/23:58:03.126875,134
2019/05/17/23:58:03.142975,133
2019/05/17/23:58:03.161974,133
2019/05/17/23:58:03.180328,133
2019/05/17/23:58:03.198652,133
2019/05/17/23:58:03.217179,136
2019/05/17/23:58:03.234303,136
2019/05/17/23:58:03.251153,135
2019/05/17/23:58:03.267728,135
2019/05/17/23:58:03.285205,135
2019/05/17/23:58:03.302374,135
2019/05/17/23:58:03.321414,135
2019/05/17/23:58:03.338500,135
