time,.data
2019/05/17/23:53:11.698757,515
2019/05/17/23:53:11.715808,515
2019/05/17/23:53:11.732931,515
2019/05/17/23:53:11.750478,516
2019/05/17/23:53:11.767606,516
2019/05/17/23:53:11.784399,516
2019/05/17/23:53:11.802485,515
2019/05/17/23:53:11.819409,517
2019/05/17/23:53:11.837477,516
2019/05/17/23:53:11.853722,516
2019/05/17/23:53:11.871685,515
2019/05/17/23:53:11.890052,516
2019/05/17/23:53:11.907378,517
2019/05/17/23:53:11.926611,516
2019/05/17/23:53:11.943694,516
2019/05/17/23:53:11.960866,516
2019/05/17/23:53:11.977998,517
2019/05/17/23:53:11.996829,517
2019/05/17/23:53:12.014027,517
2019/05/17/23:53:12.031113,516
2019/05/17/23:53:12.045024,516
2019/05/17/23:53:12.062143,516
2019/05/17/23:53:12.081570,515
2019/05/17/23:53:12.097732,515
2019/05/17/23:53:12.115551,515
2019/05/17/23:53:12.132762,514
2019/05/17/23:53:12.150844,514
2019/05/17/23:53:12.167970,514
2019/05/17/23:53:12.184805,514
2019/05/17/23:53:12.202886,514
2019/05/17/23:53:12.223398,513
2019/05/17/23:53:12.237208,513
2019/05/17/23:53:12.254594,513
2019/05/17/23:53:12.274443,514
2019/05/17/23:53:12.291774,514
2019/05/17/23:53:12.310958,514
2019/05/17/23:53:12.329495,513
2019/05/17/23:53:12.348212,513
2019/05/17/23:53:12.365432,515
2019/05/17/23:53:12.383177,515
2019/05/17/23:53:12.400364,515
2019/05/17/23:53:12.418671,515
2019/05/17/23:53:12.435717,515
2019/05/17/23:53:12.452911,516
2019/05/17/23:53:12.472214,516
2019/05/17/23:53:12.488699,515
2019/05/17/23:53:12.506931,515
2019/05/17/23:53:12.525209,515
2019/05/17/23:53:12.543401,515
2019/05/17/23:53:12.561583,514
2019/05/17/23:53:12.577780,515
2019/05/17/23:53:12.596673,515
2019/05/17/23:53:12.615468,515
2019/05/17/23:53:12.633489,516
2019/05/17/23:53:12.650686,516
2019/05/17/23:53:12.665388,515
2019/05/17/23:53:12.682352,517
2019/05/17/23:53:12.699682,517
2019/05/17/23:53:12.717577,517
2019/05/17/23:53:12.733637,517
2019/05/17/23:53:12.751427,516
2019/05/17/23:53:12.768531,516
2019/05/17/23:53:12.785391,516
2019/05/17/23:53:12.804248,515
2019/05/17/23:53:12.821420,515
2019/05/17/23:53:12.839458,515
2019/05/17/23:53:12.857539,515
2019/05/17/23:53:12.875505,515
2019/05/17/23:53:12.893472,515
2019/05/17/23:53:12.910381,514
2019/05/17/23:53:12.926612,514
2019/05/17/23:53:12.944758,514
2019/05/17/23:53:12.962677,514
2019/05/17/23:53:12.981905,514
2019/05/17/23:53:12.999428,513
2019/05/17/23:53:13.018506,514
2019/05/17/23:53:13.035517,515
2019/05/17/23:53:13.053552,514
2019/05/17/23:53:13.070359,514
2019/05/17/23:53:13.088384,514
2019/05/17/23:53:13.106345,514
2019/05/17/23:53:13.123222,514
2019/05/17/23:53:13.141503,513
2019/05/17/23:53:13.158485,513
2019/05/17/23:53:13.175710,513
2019/05/17/23:53:13.192704,513
2019/05/17/23:53:13.209929,514
2019/05/17/23:53:13.227521,514
2019/05/17/23:53:13.245512,514
2019/05/17/23:53:13.262600,513
2019/05/17/23:53:13.280424,513
2019/05/17/23:53:13.297678,513
2019/05/17/23:53:13.314521,513
2019/05/17/23:53:13.333051,513
2019/05/17/23:53:13.350956,513
2019/05/17/23:53:13.369170,513
2019/05/17/23:53:13.385703,514
2019/05/17/23:53:13.402624,514
2019/05/17/23:53:13.419850,514
2019/05/17/23:53:13.437644,514
2019/05/17/23:53:13.455960,513
2019/05/17/23:53:13.472883,513
2019/05/17/23:53:13.492378,513
2019/05/17/23:53:13.508848,514
2019/05/17/23:53:13.525679,514
2019/05/17/23:53:13.542866,514
2019/05/17/23:53:13.561005,513
2019/05/17/23:53:13.579250,513
2019/05/17/23:53:13.596206,513
2019/05/17/23:53:13.613525,513
2019/05/17/23:53:13.628294,513
2019/05/17/23:53:13.645397,516
2019/05/17/23:53:13.662422,516
2019/05/17/23:53:13.680304,516
2019/05/17/23:53:13.699411,515
2019/05/17/23:53:13.717312,516
2019/05/17/23:53:13.733407,516
2019/05/17/23:53:13.751711,515
2019/05/17/23:53:13.770352,515
2019/05/17/23:53:13.787439,516
2019/05/17/23:53:13.804857,516
2019/05/17/23:53:13.823967,516
2019/05/17/23:53:13.841322,516
2019/05/17/23:53:13.860313,515
2019/05/17/23:53:13.878614,517
2019/05/17/23:53:13.894760,517
2019/05/17/23:53:13.912879,516
2019/05/17/23:53:13.929920,516
2019/05/17/23:53:13.947349,516
2019/05/17/23:53:13.965214,515
2019/05/17/23:53:13.983259,515
2019/05/17/23:53:14.001525,517
2019/05/17/23:53:14.019688,516
2019/05/17/23:53:14.037944,516
2019/05/17/23:53:14.055037,516
2019/05/17/23:53:14.072004,515
2019/05/17/23:53:14.089098,515
2019/05/17/23:53:14.107189,515
2019/05/17/23:53:14.125091,514
2019/05/17/23:53:14.143468,516
2019/05/17/23:53:14.161466,516
2019/05/17/23:53:14.179473,516
2019/05/17/23:53:14.196539,515
2019/05/17/23:53:14.212756,515
2019/05/17/23:53:14.230847,515
2019/05/17/23:53:14.249346,514
2019/05/17/23:53:14.267523,516
2019/05/17/23:53:14.284335,516
2019/05/17/23:53:14.302481,516
2019/05/17/23:53:14.320772,515
2019/05/17/23:53:14.337102,515
2019/05/17/23:53:14.355104,515
2019/05/17/23:53:14.373041,514
2019/05/17/23:53:14.389930,515
2019/05/17/23:53:14.408557,515
2019/05/17/23:53:14.424449,515
2019/05/17/23:53:14.442587,514
2019/05/17/23:53:14.459586,516
2019/05/17/23:53:14.476487,515
2019/05/17/23:53:14.495495,515
2019/05/17/23:53:14.513692,515
2019/05/17/23:53:14.531476,514
2019/05/17/23:53:14.549512,514
2019/05/17/23:53:14.566844,514
2019/05/17/23:53:14.584616,514
2019/05/17/23:53:14.601873,513
2019/05/17/23:53:14.619169,514
2019/05/17/23:53:14.638168,515
2019/05/17/23:53:14.654510,515
2019/05/17/23:53:14.672034,514
2019/05/17/23:53:14.690325,514
2019/05/17/23:53:14.707385,514
2019/05/17/23:53:14.725726,514
2019/05/17/23:53:14.742793,513
2019/05/17/23:53:14.762080,513
2019/05/17/23:53:14.779458,513
2019/05/17/23:53:14.796437,513
2019/05/17/23:53:14.814475,513
2019/05/17/23:53:14.831592,513
2019/05/17/23:53:14.849134,513
2019/05/17/23:53:14.868298,513
2019/05/17/23:53:14.886691,513
2019/05/17/23:53:14.902606,512
2019/05/17/23:53:14.920598,512
2019/05/17/23:53:14.937577,512
2019/05/17/23:53:14.955662,512
2019/05/17/23:53:14.974044,512
2019/05/17/23:53:14.990891,512
2019/05/17/23:53:15.009455,512
2019/05/17/23:53:15.026474,512
2019/05/17/23:53:15.045979,512
2019/05/17/23:53:15.061708,514
2019/05/17/23:53:15.081450,513
2019/05/17/23:53:15.098388,514
2019/05/17/23:53:15.118411,515
2019/05/17/23:53:15.136688,515
2019/05/17/23:53:15.153054,515
2019/05/17/23:53:15.169638,515
2019/05/17/23:53:15.186762,514
2019/05/17/23:53:15.204129,515
2019/05/17/23:53:15.221427,515
2019/05/17/23:53:15.238569,515
2019/05/17/23:53:15.256446,514
2019/05/17/23:53:15.273435,514
2019/05/17/23:53:15.290628,514
2019/05/17/23:53:15.309322,515
2019/05/17/23:53:15.328486,515
2019/05/17/23:53:15.346283,515
2019/05/17/23:53:15.364305,514
2019/05/17/23:53:15.380425,514
2019/05/17/23:53:15.398458,514
2019/05/17/23:53:15.414687,514
2019/05/17/23:53:15.428320,514
2019/05/17/23:53:15.445659,514
2019/05/17/23:53:15.463737,516
2019/05/17/23:53:15.480463,516
2019/05/17/23:53:15.497686,518
2019/05/17/23:53:15.515618,517
2019/05/17/23:53:15.533951,517
2019/05/17/23:53:15.551869,517
2019/05/17/23:53:15.569551,516
2019/05/17/23:53:15.588460,516
2019/05/17/23:53:15.605396,516
2019/05/17/23:53:15.622330,515
2019/05/17/23:53:15.639473,517
2019/05/17/23:53:15.657589,517
2019/05/17/23:53:15.675808,516
2019/05/17/23:53:15.694083,516
2019/05/17/23:53:15.712506,516
2019/05/17/23:53:15.729597,515
2019/05/17/23:53:15.747400,515
2019/05/17/23:53:15.766531,515
2019/05/17/23:53:15.783403,514
2019/05/17/23:53:15.800327,514
2019/05/17/23:53:15.817487,514
2019/05/17/23:53:15.835477,514
2019/05/17/23:53:15.852486,514
2019/05/17/23:53:15.869495,514
2019/05/17/23:53:15.886768,514
2019/05/17/23:53:15.906078,515
2019/05/17/23:53:15.923158,515
2019/05/17/23:53:15.940254,515
2019/05/17/23:53:15.957342,514
2019/05/17/23:53:15.974390,514
2019/05/17/23:53:15.994342,514
2019/05/17/23:53:16.010590,514
2019/05/17/23:53:16.030074,513
2019/05/17/23:53:16.048888,513
2019/05/17/23:53:16.065743,514
2019/05/17/23:53:16.083980,513
2019/05/17/23:53:16.100863,513
2019/05/17/23:53:16.118978,513
2019/05/17/23:53:16.136184,513
2019/05/17/23:53:16.154442,513
2019/05/17/23:53:16.171504,512
2019/05/17/23:53:16.188470,512
2019/05/17/23:53:16.205445,514
2019/05/17/23:53:16.223552,514
2019/05/17/23:53:16.241375,515
2019/05/17/23:53:16.259622,515
2019/05/17/23:53:16.276396,515
2019/05/17/23:53:16.295714,514
2019/05/17/23:53:16.312617,516
2019/05/17/23:53:16.329498,516
2019/05/17/23:53:16.347635,516
2019/05/17/23:53:16.364584,515
2019/05/17/23:53:16.382795,515
2019/05/17/23:53:16.400664,515
2019/05/17/23:53:16.417561,515
2019/05/17/23:53:16.436459,515
2019/05/17/23:53:16.453674,514
2019/05/17/23:53:16.470431,514
2019/05/17/23:53:16.488594,514
2019/05/17/23:53:16.505466,514
2019/05/17/23:53:16.523418,514
2019/05/17/23:53:16.540422,513
2019/05/17/23:53:16.557696,514
2019/05/17/23:53:16.574689,514
2019/05/17/23:53:16.592732,515
2019/05/17/23:53:16.611502,515
2019/05/17/23:53:16.628363,514
2019/05/17/23:53:16.644598,514
2019/05/17/23:53:16.662425,514
2019/05/17/23:53:16.679690,514
2019/05/17/23:53:16.698043,514
2019/05/17/23:53:16.714976,514
