time,.data
2019/05/17/23:56:16.647300,174
2019/05/17/23:56:16.663331,174
2019/05/17/23:56:16.681730,173
2019/05/17/23:56:16.698614,175
2019/05/17/23:56:16.715648,175
2019/05/17/23:56:16.732974,174
2019/05/17/23:56:16.749918,174
2019/05/17/23:56:16.768850,173
2019/05/17/23:56:16.786496,174
2019/05/17/23:56:16.803416,175
2019/05/17/23:56:16.822031,175
2019/05/17/23:56:16.840087,175
2019/05/17/23:56:16.857230,175
2019/05/17/23:56:16.874356,175
2019/05/17/23:56:16.893114,175
2019/05/17/23:56:16.910012,176
2019/05/17/23:56:16.928088,176
2019/05/17/23:56:16.944154,176
2019/05/17/23:56:16.961075,177
2019/05/17/23:56:16.978400,176
2019/05/17/23:56:16.997573,177
2019/05/17/23:56:17.014768,177
2019/05/17/23:56:17.031773,177
2019/05/17/23:56:17.049205,177
2019/05/17/23:56:17.066014,176
2019/05/17/23:56:17.083200,177
2019/05/17/23:56:17.101220,174
2019/05/17/23:56:17.120075,174
2019/05/17/23:56:17.138891,175
2019/05/17/23:56:17.155363,173
2019/05/17/23:56:17.174267,173
2019/05/17/23:56:17.192866,173
2019/05/17/23:56:17.210279,173
2019/05/17/23:56:17.229390,174
2019/05/17/23:56:17.247530,174
2019/05/17/23:56:17.260398,174
2019/05/17/23:56:17.278353,175
2019/05/17/23:56:17.295347,175
2019/05/17/23:56:17.313901,175
2019/05/17/23:56:17.331094,175
2019/05/17/23:56:17.347950,176
2019/05/17/23:56:17.366278,176
2019/05/17/23:56:17.383044,176
2019/05/17/23:56:17.400178,175
2019/05/17/23:56:17.417254,175
2019/05/17/23:56:17.435102,175
2019/05/17/23:56:17.451340,173
2019/05/17/23:56:17.468222,174
2019/05/17/23:56:17.487627,174
2019/05/17/23:56:17.507957,172
2019/05/17/23:56:17.527153,172
2019/05/17/23:56:17.542977,169
2019/05/17/23:56:17.560982,171
2019/05/17/23:56:17.577187,172
2019/05/17/23:56:17.596138,172
2019/05/17/23:56:17.614083,173
2019/05/17/23:56:17.631063,170
2019/05/17/23:56:17.650218,171
2019/05/17/23:56:17.667169,171
2019/05/17/23:56:17.685154,172
2019/05/17/23:56:17.704618,172
2019/05/17/23:56:17.721489,172
2019/05/17/23:56:17.739087,174
2019/05/17/23:56:17.757196,175
2019/05/17/23:56:17.774484,175
2019/05/17/23:56:17.792064,176
2019/05/17/23:56:17.809086,176
2019/05/17/23:56:17.827998,176
2019/05/17/23:56:17.844778,177
2019/05/17/23:56:17.858604,177
2019/05/17/23:56:17.876151,177
2019/05/17/23:56:17.894408,177
2019/05/17/23:56:17.911156,177
