time,.data
2019/05/17/23:54:03.761228,338
2019/05/17/23:54:03.778624,340
2019/05/17/23:54:03.796683,339
2019/05/17/23:54:03.813914,339
2019/05/17/23:54:03.832000,340
2019/05/17/23:54:03.849166,341
2019/05/17/23:54:03.866004,341
2019/05/17/23:54:03.882816,340
2019/05/17/23:54:03.900046,340
2019/05/17/23:54:03.917943,340
2019/05/17/23:54:03.933906,339
2019/05/17/23:54:03.950939,341
2019/05/17/23:54:03.969399,340
2019/05/17/23:54:03.987389,340
2019/05/17/23:54:04.005970,339
2019/05/17/23:54:04.024227,339
2019/05/17/23:54:04.042074,341
2019/05/17/23:54:04.059694,340
2019/05/17/23:54:04.077796,340
2019/05/17/23:54:04.094882,340
2019/05/17/23:54:04.112043,341
2019/05/17/23:54:04.129340,342
2019/05/17/23:54:04.145819,343
2019/05/17/23:54:04.164897,342
2019/05/17/23:54:04.183130,342
2019/05/17/23:54:04.200340,341
2019/05/17/23:54:04.217419,343
2019/05/17/23:54:04.236436,342
2019/05/17/23:54:04.250011,342
2019/05/17/23:54:04.267644,342
2019/05/17/23:54:04.285906,341
2019/05/17/23:54:04.302977,341
2019/05/17/23:54:04.321772,341
2019/05/17/23:54:04.339093,340
2019/05/17/23:54:04.358079,342
2019/05/17/23:54:04.375856,342
2019/05/17/23:54:04.393691,341
2019/05/17/23:54:04.409925,342
2019/05/17/23:54:04.427962,342
2019/05/17/23:54:04.441588,341
2019/05/17/23:54:04.458816,341
2019/05/17/23:54:04.476488,341
2019/05/17/23:54:04.494101,341
2019/05/17/23:54:04.510913,342
2019/05/17/23:54:04.528862,341
2019/05/17/23:54:04.547455,341
2019/05/17/23:54:04.564528,343
2019/05/17/23:54:04.581858,343
2019/05/17/23:54:04.598788,343
2019/05/17/23:54:04.616261,343
2019/05/17/23:54:04.635023,342
2019/05/17/23:54:04.652211,344
2019/05/17/23:54:04.669089,343
2019/05/17/23:54:04.686139,343
2019/05/17/23:54:04.705247,342
2019/05/17/23:54:04.722320,342
2019/05/17/23:54:04.739516,341
2019/05/17/23:54:04.757493,342
2019/05/17/23:54:04.775323,342
2019/05/17/23:54:04.793030,342
2019/05/17/23:54:04.811395,341
2019/05/17/23:54:04.828907,341
2019/05/17/23:54:04.847234,342
2019/05/17/23:54:04.865786,342
2019/05/17/23:54:04.883781,341
2019/05/17/23:54:04.901596,342
2019/05/17/23:54:04.920918,342
2019/05/17/23:54:04.934967,341
2019/05/17/23:54:04.951794,342
2019/05/17/23:54:04.968991,341
2019/05/17/23:54:04.987064,341
2019/05/17/23:54:05.005316,341
2019/05/17/23:54:05.023505,340
2019/05/17/23:54:05.039823,340
2019/05/17/23:54:05.058432,342
2019/05/17/23:54:05.077742,342
2019/05/17/23:54:05.095101,342
2019/05/17/23:54:05.110693,341
2019/05/17/23:54:05.131437,341
2019/05/17/23:54:05.148512,342
2019/05/17/23:54:05.165686,341
2019/05/17/23:54:05.182681,340
2019/05/17/23:54:05.199848,341
2019/05/17/23:54:05.217876,341
2019/05/17/23:54:05.237004,340
2019/05/17/23:54:05.253124,339
2019/05/17/23:54:05.270037,339
2019/05/17/23:54:05.287786,340
2019/05/17/23:54:05.304735,340
2019/05/17/23:54:05.322876,339
2019/05/17/23:54:05.338824,342
2019/05/17/23:54:05.358598,341
2019/05/17/23:54:05.375752,343
2019/05/17/23:54:05.392837,342
2019/05/17/23:54:05.409949,341
2019/05/17/23:54:05.426755,342
2019/05/17/23:54:05.446352,342
2019/05/17/23:54:05.464390,342
2019/05/17/23:54:05.481640,341
2019/05/17/23:54:05.498706,340
2019/05/17/23:54:05.515824,340
2019/05/17/23:54:05.534098,340
2019/05/17/23:54:05.551045,340
2019/05/17/23:54:05.568450,339
2019/05/17/23:54:05.586607,339
2019/05/17/23:54:05.603325,339
2019/05/17/23:54:05.622508,338
2019/05/17/23:54:05.640593,338
2019/05/17/23:54:05.657500,338
2019/05/17/23:54:05.676744,337
2019/05/17/23:54:05.693997,337
2019/05/17/23:54:05.711345,339
2019/05/17/23:54:05.728528,338
2019/05/17/23:54:05.745342,338
2019/05/17/23:54:05.762794,338
2019/05/17/23:54:05.779804,338
2019/05/17/23:54:05.797948,338
2019/05/17/23:54:05.813917,337
2019/05/17/23:54:05.831904,337
2019/05/17/23:54:05.849242,337
2019/05/17/23:54:05.866197,336
2019/05/17/23:54:05.885531,336
2019/05/17/23:54:05.902559,336
2019/05/17/23:54:05.920768,336
2019/05/17/23:54:05.938838,338
2019/05/17/23:54:05.958083,337
2019/05/17/23:54:05.975373,338
2019/05/17/23:54:05.993490,338
2019/05/17/23:54:06.011962,338
2019/05/17/23:54:06.028827,337
2019/05/17/23:54:06.048095,337
2019/05/17/23:54:06.062708,339
2019/05/17/23:54:06.080820,338
2019/05/17/23:54:06.097781,339
2019/05/17/23:54:06.114746,341
2019/05/17/23:54:06.132739,340
2019/05/17/23:54:06.149655,342
2019/05/17/23:54:06.167837,342
2019/05/17/23:54:06.185735,340
2019/05/17/23:54:06.202850,341
2019/05/17/23:54:06.220201,341
2019/05/17/23:54:06.239827,340
2019/05/17/23:54:06.257167,339
2019/05/17/23:54:06.273911,339
2019/05/17/23:54:06.293312,339
2019/05/17/23:54:06.310389,338
2019/05/17/23:54:06.327977,338
2019/05/17/23:54:06.344731,338
2019/05/17/23:54:06.362830,337
2019/05/17/23:54:06.379779,337
2019/05/17/23:54:06.398839,337
2019/05/17/23:54:06.415909,337
2019/05/17/23:54:06.434236,337
2019/05/17/23:54:06.451981,337
2019/05/17/23:54:06.465698,337
2019/05/17/23:54:06.483893,336
2019/05/17/23:54:06.501730,338
2019/05/17/23:54:06.518669,338
2019/05/17/23:54:06.536278,338
2019/05/17/23:54:06.553240,338
2019/05/17/23:54:06.570605,338
2019/05/17/23:54:06.587397,338
2019/05/17/23:54:06.605687,337
