time,.data
2019/05/17/23:55:00.646060,233
2019/05/17/23:55:00.663003,233
2019/05/17/23:55:00.682344,233
2019/05/17/23:55:00.699919,232
2019/05/17/23:55:00.717178,232
2019/05/17/23:55:00.735146,231
2019/05/17/23:55:00.753229,231
2019/05/17/23:55:00.771450,231
2019/05/17/23:55:00.790148,231
2019/05/17/23:55:00.808654,230
2019/05/17/23:55:00.825619,230
2019/05/17/23:55:00.843949,231
2019/05/17/23:55:00.862066,233
2019/05/17/23:55:00.880398,232
2019/05/17/23:55:00.897695,232
2019/05/17/23:55:00.914761,231
2019/05/17/23:55:00.934136,231
2019/05/17/23:55:00.951692,231
2019/05/17/23:55:00.969916,230
2019/05/17/23:55:00.990909,230
2019/05/17/23:55:01.008011,230
2019/05/17/23:55:01.024966,230
2019/05/17/23:55:01.042207,230
2019/05/17/23:55:01.059479,230
2019/05/17/23:55:01.078309,230
2019/05/17/23:55:01.095238,229
2019/05/17/23:55:01.114109,231
2019/05/17/23:55:01.131152,231
2019/05/17/23:55:01.149045,234
2019/05/17/23:55:01.167141,233
2019/05/17/23:55:01.186524,233
2019/05/17/23:55:01.203660,236
2019/05/17/23:55:01.221999,236
2019/05/17/23:55:01.239962,239
2019/05/17/23:55:01.257319,238
2019/05/17/23:55:01.276174,237
2019/05/17/23:55:01.293271,240
2019/05/17/23:55:01.310061,239
2019/05/17/23:55:01.327778,239
2019/05/17/23:55:01.346083,240
2019/05/17/23:55:01.363261,239
2019/05/17/23:55:01.381229,238
2019/05/17/23:55:01.399217,237
2019/05/17/23:55:01.417942,236
2019/05/17/23:55:01.436190,236
2019/05/17/23:55:01.452255,235
2019/05/17/23:55:01.471940,235
2019/05/17/23:55:01.488207,234
2019/05/17/23:55:01.506385,233
2019/05/17/23:55:01.525863,233
2019/05/17/23:55:01.543878,234
2019/05/17/23:55:01.562079,233
2019/05/17/23:55:01.580483,234
2019/05/17/23:55:01.597096,233
2019/05/17/23:55:01.615165,233
2019/05/17/23:55:01.633447,233
2019/05/17/23:55:01.651910,232
2019/05/17/23:55:01.668946,232
2019/05/17/23:55:01.688255,232
2019/05/17/23:55:01.700852,231
2019/05/17/23:55:01.719857,231
2019/05/17/23:55:01.737643,231
2019/05/17/23:55:01.755384,232
2019/05/17/23:55:01.773421,231
2019/05/17/23:55:01.791558,231
2019/05/17/23:55:01.808354,231
2019/05/17/23:55:01.825856,230
2019/05/17/23:55:01.845024,231
2019/05/17/23:55:01.861245,231
2019/05/17/23:55:01.878960,232
2019/05/17/23:55:01.896161,231
2019/05/17/23:55:01.913903,231
2019/05/17/23:55:01.931165,233
2019/05/17/23:55:01.948302,233
2019/05/17/23:55:01.967162,235
2019/05/17/23:55:01.984275,235
2019/05/17/23:55:02.002053,234
2019/05/17/23:55:02.020023,237
2019/05/17/23:55:02.038272,235
2019/05/17/23:55:02.056468,237
2019/05/17/23:55:02.073368,236
2019/05/17/23:55:02.087186,237
2019/05/17/23:55:02.104940,238
2019/05/17/23:55:02.121917,237
2019/05/17/23:55:02.140088,236
2019/05/17/23:55:02.157135,235
2019/05/17/23:55:02.175385,234
2019/05/17/23:55:02.192307,234
2019/05/17/23:55:02.210588,233
2019/05/17/23:55:02.228616,233
2019/05/17/23:55:02.248204,234
2019/05/17/23:55:02.265220,235
2019/05/17/23:55:02.282402,234
2019/05/17/23:55:02.300991,235
2019/05/17/23:55:02.319066,236
2019/05/17/23:55:02.336498,235
2019/05/17/23:55:02.353137,237
2019/05/17/23:55:02.372506,236
2019/05/17/23:55:02.389345,236
2019/05/17/23:55:02.407153,237
2019/05/17/23:55:02.425375,236
2019/05/17/23:55:02.443633,237
2019/05/17/23:55:02.462954,236
2019/05/17/23:55:02.480169,236
2019/05/17/23:55:02.496315,236
2019/05/17/23:55:02.515057,236
2019/05/17/23:55:02.533312,236
2019/05/17/23:55:02.549977,236
2019/05/17/23:55:02.567339,235
2019/05/17/23:55:02.585350,235
2019/05/17/23:55:02.603712,234
2019/05/17/23:55:02.620605,233
2019/05/17/23:55:02.639835,233
2019/05/17/23:55:02.658257,232
2019/05/17/23:55:02.675150,230
2019/05/17/23:55:02.692096,230
2019/05/17/23:55:02.708925,230
2019/05/17/23:55:02.726162,229
2019/05/17/23:55:02.744606,230
2019/05/17/23:55:02.762556,230
2019/05/17/23:55:02.780647,231
2019/05/17/23:55:02.797287,232
2019/05/17/23:55:02.815620,231
2019/05/17/23:55:02.833774,232
2019/05/17/23:55:02.850898,231
2019/05/17/23:55:02.867829,231
2019/05/17/23:55:02.885026,230
2019/05/17/23:55:02.904076,230
2019/05/17/23:55:02.921052,229
2019/05/17/23:55:02.938278,229
2019/05/17/23:55:02.956124,231
2019/05/17/23:55:02.973234,230
2019/05/17/23:55:02.990077,229
2019/05/17/23:55:03.009770,228
2019/05/17/23:55:03.028788,228
2019/05/17/23:55:03.045678,229
2019/05/17/23:55:03.062645,231
2019/05/17/23:55:03.081920,233
2019/05/17/23:55:03.099072,233
2019/05/17/23:55:03.117190,232
2019/05/17/23:55:03.135973,236
2019/05/17/23:55:03.152709,235
2019/05/17/23:55:03.170123,234
2019/05/17/23:55:03.185927,234
2019/05/17/23:55:03.204152,233
2019/05/17/23:55:03.222022,236
2019/05/17/23:55:03.240255,235
2019/05/17/23:55:03.258701,236
2019/05/17/23:55:03.276019,236
2019/05/17/23:55:03.293092,235
2019/05/17/23:55:03.311166,235
2019/05/17/23:55:03.329739,234
2019/05/17/23:55:03.346779,234
2019/05/17/23:55:03.365870,233
2019/05/17/23:55:03.384043,233
2019/05/17/23:55:03.401989,232
2019/05/17/23:55:03.419794,232
2019/05/17/23:55:03.437595,232
2019/05/17/23:55:03.455261,231
2019/05/17/23:55:03.473961,231
2019/05/17/23:55:03.491051,230
2019/05/17/23:55:03.509202,230
2019/05/17/23:55:03.526438,230
2019/05/17/23:55:03.546756,230
2019/05/17/23:55:03.563658,230
2019/05/17/23:55:03.581840,229
2019/05/17/23:55:03.598669,230
2019/05/17/23:55:03.616936,230
2019/05/17/23:55:03.636181,229
2019/05/17/23:55:03.653097,229
2019/05/17/23:55:03.671174,229
2019/05/17/23:55:03.689306,230
2019/05/17/23:55:03.705189,230
2019/05/17/23:55:03.721983,230
2019/05/17/23:55:03.741155,229
2019/05/17/23:55:03.759068,229
2019/05/17/23:55:03.777352,229
2019/05/17/23:55:03.795409,229
2019/05/17/23:55:03.812619,231
2019/05/17/23:55:03.830079,230
2019/05/17/23:55:03.846360,230
2019/05/17/23:55:03.863348,232
2019/05/17/23:55:03.880426,232
2019/05/17/23:55:03.899770,230
2019/05/17/23:55:03.918128,230
2019/05/17/23:55:03.934552,229
2019/05/17/23:55:03.953953,233
2019/05/17/23:55:03.972180,232
2019/05/17/23:55:03.989174,236
2019/05/17/23:55:04.006453,235
2019/05/17/23:55:04.024675,235
2019/05/17/23:55:04.042888,236
2019/05/17/23:55:04.059960,236
2019/05/17/23:55:04.077131,235
2019/05/17/23:55:04.095459,234
2019/05/17/23:55:04.112339,233
2019/05/17/23:55:04.132707,232
2019/05/17/23:55:04.150706,232
2019/05/17/23:55:04.170075,231
2019/05/17/23:55:04.187609,231
2019/05/17/23:55:04.205690,232
2019/05/17/23:55:04.223897,232
2019/05/17/23:55:04.240945,232
2019/05/17/23:55:04.259189,231
2019/05/17/23:55:04.277269,231
2019/05/17/23:55:04.295541,232
2019/05/17/23:55:04.313670,231
2019/05/17/23:55:04.330447,231
2019/05/17/23:55:04.348495,231
2019/05/17/23:55:04.365319,230
2019/05/17/23:55:04.383423,230
2019/05/17/23:55:04.401423,230
2019/05/17/23:55:04.419729,230
2019/05/17/23:55:04.436872,229
2019/05/17/23:55:04.453224,229
2019/05/17/23:55:04.471370,229
2019/05/17/23:55:04.489676,230
2019/05/17/23:55:04.508023,230
2019/05/17/23:55:04.521731,231
2019/05/17/23:55:04.542087,231
2019/05/17/23:55:04.560026,231
2019/05/17/23:55:04.577165,230
2019/05/17/23:55:04.594888,232
2019/05/17/23:55:04.613716,232
2019/05/17/23:55:04.630871,234
2019/05/17/23:55:04.647377,233
2019/05/17/23:55:04.665549,232
2019/05/17/23:55:04.682673,235
2019/05/17/23:55:04.699843,236
2019/05/17/23:55:04.718162,236
2019/05/17/23:55:04.735079,236
2019/05/17/23:55:04.752042,235
2019/05/17/23:55:04.769300,237
2019/05/17/23:55:04.786372,236
2019/05/17/23:55:04.803497,236
2019/05/17/23:55:04.821889,237
2019/05/17/23:55:04.841022,236
2019/05/17/23:55:04.858249,235
2019/05/17/23:55:04.875296,234
2019/05/17/23:55:04.892495,233
2019/05/17/23:55:04.909209,233
2019/05/17/23:55:04.926315,232
2019/05/17/23:55:04.943296,232
2019/05/17/23:55:04.961489,231
2019/05/17/23:55:04.979836,232
2019/05/17/23:55:04.996655,231
2019/05/17/23:55:05.015287,231
2019/05/17/23:55:05.033139,231
2019/05/17/23:55:05.050427,230
2019/05/17/23:55:05.068232,232
2019/05/17/23:55:05.085573,231
2019/05/17/23:55:05.103772,231
2019/05/17/23:55:05.120581,232
2019/05/17/23:55:05.137570,231
2019/05/17/23:55:05.156671,232
2019/05/17/23:55:05.173995,231
2019/05/17/23:55:05.190884,231
2019/05/17/23:55:05.209221,232
2019/05/17/23:55:05.226333,232
2019/05/17/23:55:05.245261,231
2019/05/17/23:55:05.262092,231
2019/05/17/23:55:05.281167,231
2019/05/17/23:55:05.298856,232
2019/05/17/23:55:05.315872,232
2019/05/17/23:55:05.332649,231
2019/05/17/23:55:05.349230,231
2019/05/17/23:55:05.367782,231
2019/05/17/23:55:05.384674,230
2019/05/17/23:55:05.403038,230
2019/05/17/23:55:05.420108,230
2019/05/17/23:55:05.437963,230
2019/05/17/23:55:05.456374,230
2019/05/17/23:55:05.473293,230
2019/05/17/23:55:05.490335,231
2019/05/17/23:55:05.507737,231
2019/05/17/23:55:05.525174,231
2019/05/17/23:55:05.542888,232
2019/05/17/23:55:05.562091,232
2019/05/17/23:55:05.580303,232
2019/05/17/23:55:05.598358,231
2019/05/17/23:55:05.616855,231
2019/05/17/23:55:05.633543,230
2019/05/17/23:55:05.650615,230
2019/05/17/23:55:05.669742,229
2019/05/17/23:55:05.687018,229
2019/05/17/23:55:05.703156,229
2019/05/17/23:55:05.720286,229
2019/05/17/23:55:05.740822,229
2019/05/17/23:55:05.758999,231
2019/05/17/23:55:05.777617,231
2019/05/17/23:55:05.794517,233
2019/05/17/23:55:05.812072,233
2019/05/17/23:55:05.828670,232
2019/05/17/23:55:05.847741,235
2019/05/17/23:55:05.865836,236
2019/05/17/23:55:05.883168,239
2019/05/17/23:55:05.899300,238
2019/05/17/23:55:05.912738,237
2019/05/17/23:55:05.932224,239
2019/05/17/23:55:05.948970,238
2019/05/17/23:55:05.966938,237
2019/05/17/23:55:05.985098,237
2019/05/17/23:55:06.002202,236
2019/05/17/23:55:06.020033,236
2019/05/17/23:55:06.037112,236
2019/05/17/23:55:06.055289,237
2019/05/17/23:55:06.073560,237
2019/05/17/23:55:06.090588,236
2019/05/17/23:55:06.109773,234
2019/05/17/23:55:06.126896,234
2019/05/17/23:55:06.143847,233
2019/05/17/23:55:06.163065,233
2019/05/17/23:55:06.180909,232
2019/05/17/23:55:06.199218,232
2019/05/17/23:55:06.216666,232
2019/05/17/23:55:06.233657,231
2019/05/17/23:55:06.251275,231
2019/05/17/23:55:06.268180,231
2019/05/17/23:55:06.286581,231
2019/05/17/23:55:06.304678,230
2019/05/17/23:55:06.321793,230
2019/05/17/23:55:06.339967,229
2019/05/17/23:55:06.356867,229
2019/05/17/23:55:06.374180,229
2019/05/17/23:55:06.391082,228
2019/05/17/23:55:06.408390,228
2019/05/17/23:55:06.425416,228
2019/05/17/23:55:06.443354,228
2019/05/17/23:55:06.460508,227
2019/05/17/23:55:06.477603,228
2019/05/17/23:55:06.495829,228
2019/05/17/23:55:06.513045,228
2019/05/17/23:55:06.530457,229
2019/05/17/23:55:06.548442,229
2019/05/17/23:55:06.566632,233
2019/05/17/23:55:06.584828,232
2019/05/17/23:55:06.601726,232
2019/05/17/23:55:06.618725,236
2019/05/17/23:55:06.636593,236
2019/05/17/23:55:06.653787,235
2019/05/17/23:55:06.671521,234
2019/05/17/23:55:06.688952,234
2019/05/17/23:55:06.707488,237
2019/05/17/23:55:06.724370,237
2019/05/17/23:55:06.741446,237
2019/05/17/23:55:06.759984,236
2019/05/17/23:55:06.777060,235
2019/05/17/23:55:06.794778,235
2019/05/17/23:55:06.812163,236
2019/05/17/23:55:06.830981,236
2019/05/17/23:55:06.847760,234
2019/05/17/23:55:06.864661,234
2019/05/17/23:55:06.882641,233
2019/05/17/23:55:06.900865,233
2019/05/17/23:55:06.918674,231
2019/05/17/23:55:06.936882,231
2019/05/17/23:55:06.956027,232
2019/05/17/23:55:06.973109,232
2019/05/17/23:55:06.990098,232
2019/05/17/23:55:07.008121,231
2019/05/17/23:55:07.025948,231
2019/05/17/23:55:07.043088,230
2019/05/17/23:55:07.060962,230
2019/05/17/23:55:07.079163,229
2019/05/17/23:55:07.097503,229
2019/05/17/23:55:07.114462,229
2019/05/17/23:55:07.132468,229
2019/05/17/23:55:07.150296,229
2019/05/17/23:55:07.168183,228
2019/05/17/23:55:07.186182,228
2019/05/17/23:55:07.204248,228
2019/05/17/23:55:07.222471,229
2019/05/17/23:55:07.240538,228
2019/05/17/23:55:07.257889,229
2019/05/17/23:55:07.275918,228
2019/05/17/23:55:07.292951,228
2019/05/17/23:55:07.310486,228
2019/05/17/23:55:07.327699,228
2019/05/17/23:55:07.345801,230
2019/05/17/23:55:07.362605,229
2019/05/17/23:55:07.381903,229
2019/05/17/23:55:07.401374,229
2019/05/17/23:55:07.418997,229
2019/05/17/23:55:07.437181,232
2019/05/17/23:55:07.453147,232
2019/05/17/23:55:07.467761,232
2019/05/17/23:55:07.486990,234
2019/05/17/23:55:07.503078,234
2019/05/17/23:55:07.521109,235
2019/05/17/23:55:07.539430,235
2019/05/17/23:55:07.557074,234
2019/05/17/23:55:07.574397,234
2019/05/17/23:55:07.593457,233
2019/05/17/23:55:07.611637,233
2019/05/17/23:55:07.629676,232
2019/05/17/23:55:07.647053,232
2019/05/17/23:55:07.663929,232
2019/05/17/23:55:07.682022,232
2019/05/17/23:55:07.699082,231
2019/05/17/23:55:07.716782,231
2019/05/17/23:55:07.733941,231
2019/05/17/23:55:07.750830,231
2019/05/17/23:55:07.768149,232
2019/05/17/23:55:07.785732,234
2019/05/17/23:55:07.802409,234
2019/05/17/23:55:07.819371,235
2019/05/17/23:55:07.837008,234
2019/05/17/23:55:07.855203,234
2019/05/17/23:55:07.873434,233
2019/05/17/23:55:07.892065,232
2019/05/17/23:55:07.910282,232
2019/05/17/23:55:07.928195,233
2019/05/17/23:55:07.945249,233
2019/05/17/23:55:07.963548,234
2019/05/17/23:55:07.981761,233
2019/05/17/23:55:08.000207,232
2019/05/17/23:55:08.016144,232
2019/05/17/23:55:08.034210,232
2019/05/17/23:55:08.051161,232
2019/05/17/23:55:08.068114,233
2019/05/17/23:55:08.087132,232
2019/05/17/23:55:08.104228,232
2019/05/17/23:55:08.122490,233
2019/05/17/23:55:08.139680,233
2019/05/17/23:55:08.156925,232
2019/05/17/23:55:08.175275,232
2019/05/17/23:55:08.192088,232
2019/05/17/23:55:08.209472,234
2019/05/17/23:55:08.227570,235
2019/05/17/23:55:08.246088,234
2019/05/17/23:55:08.263982,234
2019/05/17/23:55:08.281014,232
2019/05/17/23:55:08.298204,233
2019/05/17/23:55:08.315210,232
2019/05/17/23:55:08.333804,232
2019/05/17/23:55:08.350625,231
2019/05/17/23:55:08.368925,231
2019/05/17/23:55:08.386002,230
2019/05/17/23:55:08.403422,231
2019/05/17/23:55:08.419884,231
2019/05/17/23:55:08.436327,229
2019/05/17/23:55:08.454653,229
2019/05/17/23:55:08.472698,229
2019/05/17/23:55:08.489754,229
2019/05/17/23:55:08.506692,231
2019/05/17/23:55:08.524876,231
2019/05/17/23:55:08.542909,233
2019/05/17/23:55:08.561085,233
2019/05/17/23:55:08.577129,234
2019/05/17/23:55:08.596141,235
2019/05/17/23:55:08.612352,234
2019/05/17/23:55:08.630472,234
2019/05/17/23:55:08.648955,235
2019/05/17/23:55:08.665978,234
2019/05/17/23:55:08.684154,234
2019/05/17/23:55:08.702247,234
2019/05/17/23:55:08.720528,235
2019/05/17/23:55:08.738058,236
2019/05/17/23:55:08.755118,235
2019/05/17/23:55:08.772227,234
2019/05/17/23:55:08.791405,234
2019/05/17/23:55:08.809690,234
2019/05/17/23:55:08.827669,233
2019/05/17/23:55:08.844741,233
