time,.data
2019/05/17/23:58:01.307475,144
2019/05/17/23:58:01.326551,144
2019/05/17/23:58:01.343584,145
2019/05/17/23:58:01.360719,145
2019/05/17/23:58:01.374585,145
2019/05/17/23:58:01.393437,145
2019/05/17/23:58:01.410715,145
2019/05/17/23:58:01.428288,145
2019/05/17/23:58:01.445604,146
2019/05/17/23:58:01.462802,147
2019/05/17/23:58:01.480508,147
2019/05/17/23:58:01.498152,146
2019/05/17/23:58:01.514798,146
2019/05/17/23:58:01.532159,144
2019/05/17/23:58:01.549352,145
2019/05/17/23:58:01.566524,145
2019/05/17/23:58:01.583632,141
2019/05/17/23:58:01.603002,141
2019/05/17/23:58:01.620227,138
2019/05/17/23:58:01.637256,139
2019/05/17/23:58:01.655378,139
2019/05/17/23:58:01.672410,137
2019/05/17/23:58:01.689429,138
2019/05/17/23:58:01.707487,135
2019/05/17/23:58:01.725833,136
2019/05/17/23:58:01.743317,138
2019/05/17/23:58:01.760384,136
2019/05/17/23:58:01.777631,137
2019/05/17/23:58:01.794599,137
2019/05/17/23:58:01.812511,138
2019/05/17/23:58:01.828421,138
2019/05/17/23:58:01.846578,140
2019/05/17/23:58:01.864680,141
2019/05/17/23:58:01.882490,141
2019/05/17/23:58:01.900539,143
2019/05/17/23:58:01.919308,143
2019/05/17/23:58:01.937493,143
2019/05/17/23:58:01.954530,142
2019/05/17/23:58:01.971722,143
2019/05/17/23:58:01.989438,143
2019/05/17/23:58:02.007251,143
2019/05/17/23:58:02.025275,143
2019/05/17/23:58:02.043234,144
2019/05/17/23:58:02.060469,143
2019/05/17/23:58:02.078568,143
2019/05/17/23:58:02.096794,143
2019/05/17/23:58:02.113697,143
2019/05/17/23:58:02.132758,144
2019/05/17/23:58:02.149585,144
2019/05/17/23:58:02.166597,144
2019/05/17/23:58:02.183626,144
2019/05/17/23:58:02.200734,144
2019/05/17/23:58:02.219192,144
2019/05/17/23:58:02.237306,145
2019/05/17/23:58:02.254588,145
2019/05/17/23:58:02.271500,145
2019/05/17/23:58:02.289408,145
2019/05/17/23:58:02.310897,144
2019/05/17/23:58:02.329427,144
2019/05/17/23:58:02.346351,142
2019/05/17/23:58:02.363404,142
2019/05/17/23:58:02.379805,142
2019/05/17/23:58:02.397804,140
2019/05/17/23:58:02.416245,140
2019/05/17/23:58:02.433272,137
2019/05/17/23:58:02.451440,138
2019/05/17/23:58:02.469504,138
2019/05/17/23:58:02.486439,135
2019/05/17/23:58:02.505928,135
2019/05/17/23:58:02.524080,134
2019/05/17/23:58:02.543386,135
2019/05/17/23:58:02.560359,137
2019/05/17/23:58:02.577665,138
2019/05/17/23:58:02.595786,138
2019/05/17/23:58:02.612829,139
2019/05/17/23:58:02.631950,138
2019/05/17/23:58:02.649285,139
2019/05/17/23:58:02.666091,140
2019/05/17/23:58:02.683511,140
2019/05/17/23:58:02.700518,140
2019/05/17/23:58:02.719009,141
2019/05/17/23:58:02.736884,140
2019/05/17/23:58:02.753806,141
2019/05/17/23:58:02.771034,142
2019/05/17/23:58:02.789057,141
2019/05/17/23:58:02.807128,141
2019/05/17/23:58:02.823856,140
2019/05/17/23:58:02.842103,140
2019/05/17/23:58:02.859195,141
2019/05/17/23:58:02.877441,140
2019/05/17/23:58:02.894903,142
2019/05/17/23:58:02.912813,141
2019/05/17/23:58:02.930119,142
2019/05/17/23:58:02.946959,142
2019/05/17/23:58:02.965112,142
2019/05/17/23:58:02.983227,144
2019/05/17/23:58:03.000157,144
2019/05/17/23:58:03.018326,144
2019/05/17/23:58:03.034917,144
2019/05/17/23:58:03.052116,144
2019/05/17/23:58:03.069119,144
2019/05/17/23:58:03.088413,145
2019/05/17/23:58:03.106496,145
2019/05/17/23:58:03.125613,144
2019/05/17/23:58:03.141771,145
2019/05/17/23:58:03.160920,143
2019/05/17/23:58:03.179091,143
2019/05/17/23:58:03.197508,143
2019/05/17/23:58:03.216006,141
2019/05/17/23:58:03.233129,142
2019/05/17/23:58:03.249923,140
2019/05/17/23:58:03.266552,141
2019/05/17/23:58:03.283900,142
2019/05/17/23:58:03.301197,142
2019/05/17/23:58:03.320210,142
2019/05/17/23:58:03.337348,142
2019/05/17/23:58:03.355511,142
2019/05/17/23:58:03.372512,143
2019/05/17/23:58:03.390772,143
2019/05/17/23:58:03.408110,143
2019/05/17/23:58:03.425100,143
2019/05/17/23:58:03.442210,144
2019/05/17/23:58:03.460418,144
2019/05/17/23:58:03.478805,143
2019/05/17/23:58:03.494629,143
2019/05/17/23:58:03.512373,142
2019/05/17/23:58:03.530138,142
2019/05/17/23:58:03.547132,142
2019/05/17/23:58:03.564471,140
2019/05/17/23:58:03.581443,141
2019/05/17/23:58:03.600433,138
2019/05/17/23:58:03.617571,140
2019/05/17/23:58:03.635313,140
2019/05/17/23:58:03.652464,138
2019/05/17/23:58:03.671821,139
2019/05/17/23:58:03.689053,137
2019/05/17/23:58:03.706465,138
2019/05/17/23:58:03.721436,138
2019/05/17/23:58:03.738529,137
2019/05/17/23:58:03.756573,139
2019/05/17/23:58:03.773517,139
2019/05/17/23:58:03.790350,139
2019/05/17/23:58:03.809113,139
2019/05/17/23:58:03.826321,138
2019/05/17/23:58:03.843529,139
2019/05/17/23:58:03.860738,139
2019/05/17/23:58:03.877754,140
2019/05/17/23:58:03.895146,140
2019/05/17/23:58:03.912236,140
2019/05/17/23:58:03.931158,140
2019/05/17/23:58:03.949148,141
2019/05/17/23:58:03.966048,141
2019/05/17/23:58:03.984179,141
2019/05/17/23:58:04.001246,141
2019/05/17/23:58:04.018372,142
2019/05/17/23:58:04.035325,142
2019/05/17/23:58:04.053177,143
2019/05/17/23:58:04.072334,145
2019/05/17/23:58:04.089261,144
2019/05/17/23:58:04.108393,144
2019/05/17/23:58:04.125186,144
2019/05/17/23:58:04.142411,144
2019/05/17/23:58:04.160653,143
2019/05/17/23:58:04.176516,144
2019/05/17/23:58:04.195479,144
2019/05/17/23:58:04.213230,145
2019/05/17/23:58:04.230205,145
2019/05/17/23:58:04.247193,146
2019/05/17/23:58:04.264149,146
2019/05/17/23:58:04.282465,145
2019/05/17/23:58:04.300420,145
2019/05/17/23:58:04.318766,145
2019/05/17/23:58:04.337240,143
2019/05/17/23:58:04.355239,143
2019/05/17/23:58:04.373425,140
2019/05/17/23:58:04.390447,140
2019/05/17/23:58:04.407556,141
2019/05/17/23:58:04.426486,137
2019/05/17/23:58:04.442518,138
2019/05/17/23:58:04.460953,135
2019/05/17/23:58:04.478474,136
2019/05/17/23:58:04.495574,138
2019/05/17/23:58:04.512383,136
2019/05/17/23:58:04.530824,137
2019/05/17/23:58:04.545413,137
2019/05/17/23:58:04.563288,137
2019/05/17/23:58:04.581576,139
2019/05/17/23:58:04.599564,138
2019/05/17/23:58:04.616601,138
2019/05/17/23:58:04.636533,139
2019/05/17/23:58:04.653592,139
2019/05/17/23:58:04.671542,141
2019/05/17/23:58:04.689860,142
2019/05/17/23:58:04.706841,142
2019/05/17/23:58:04.726140,142
2019/05/17/23:58:04.743367,142
2019/05/17/23:58:04.760580,143
2019/05/17/23:58:04.777864,143
2019/05/17/23:58:04.794470,143
2019/05/17/23:58:04.812255,143
2019/05/17/23:58:04.829302,144
2019/05/17/23:58:04.846465,144
2019/05/17/23:58:04.863342,144
2019/05/17/23:58:04.882382,146
2019/05/17/23:58:04.899460,146
2019/05/17/23:58:04.917575,146
2019/05/17/23:58:04.933707,145
2019/05/17/23:58:04.951018,147
2019/05/17/23:58:04.967757,146
2019/05/17/23:58:04.986924,146
2019/05/17/23:58:05.005544,147
2019/05/17/23:58:05.022630,147
2019/05/17/23:58:05.040708,147
2019/05/17/23:58:05.058508,145
2019/05/17/23:58:05.076001,145
2019/05/17/23:58:05.093539,145
2019/05/17/23:58:05.111558,144
2019/05/17/23:58:05.130076,144
2019/05/17/23:58:05.146961,141
2019/05/17/23:58:05.164050,142
2019/05/17/23:58:05.181266,145
2019/05/17/23:58:05.199674,142
2019/05/17/23:58:05.213446,142
2019/05/17/23:58:05.230422,140
2019/05/17/23:58:05.247516,140
2019/05/17/23:58:05.263428,141
2019/05/17/23:58:05.281525,140
2019/05/17/23:58:05.299727,141
2019/05/17/23:58:05.319312,140
2019/05/17/23:58:05.336563,142
2019/05/17/23:58:05.353124,142
