time,.data
2019/05/17/23:52:52.577185,759
2019/05/17/23:52:52.594076,759
2019/05/17/23:52:52.612560,758
2019/05/17/23:52:52.629384,760
2019/05/17/23:52:52.647725,760
2019/05/17/23:52:52.665903,760
2019/05/17/23:52:52.685252,760
2019/05/17/23:52:52.702297,760
2019/05/17/23:52:52.719331,760
2019/05/17/23:52:52.736785,760
2019/05/17/23:52:52.752689,760
2019/05/17/23:52:52.769895,760
2019/05/17/23:52:52.788521,761
2019/05/17/23:52:52.806813,761
2019/05/17/23:52:52.824874,760
2019/05/17/23:52:52.843072,760
2019/05/17/23:52:52.860520,762
2019/05/17/23:52:52.878704,763
2019/05/17/23:52:52.895831,763
2019/05/17/23:52:52.913661,762
2019/05/17/23:52:52.931763,762
2019/05/17/23:52:52.949365,761
2019/05/17/23:52:52.967593,761
2019/05/17/23:52:52.985665,760
2019/05/17/23:52:53.003372,760
2019/05/17/23:52:53.020379,760
2019/05/17/23:52:53.039641,759
2019/05/17/23:52:53.056432,759
2019/05/17/23:52:53.073246,759
2019/05/17/23:52:53.090337,758
2019/05/17/23:52:53.106821,758
2019/05/17/23:52:53.125615,759
2019/05/17/23:52:53.142754,758
2019/05/17/23:52:53.162561,758
2019/05/17/23:52:53.178653,758
2019/05/17/23:52:53.196515,758
2019/05/17/23:52:53.213789,758
2019/05/17/23:52:53.231509,758
2019/05/17/23:52:53.249666,758
2019/05/17/23:52:53.266564,758
2019/05/17/23:52:53.285586,758
2019/05/17/23:52:53.303594,758
2019/05/17/23:52:53.321839,758
2019/05/17/23:52:53.338970,758
2019/05/17/23:52:53.357073,757
2019/05/17/23:52:53.374176,759
2019/05/17/23:52:53.391126,759
2019/05/17/23:52:53.410483,762
2019/05/17/23:52:53.427393,761
2019/05/17/23:52:53.445539,763
2019/05/17/23:52:53.461502,762
2019/05/17/23:52:53.479653,762
2019/05/17/23:52:53.496869,761
2019/05/17/23:52:53.513969,761
2019/05/17/23:52:53.532057,760
2019/05/17/23:52:53.550040,760
2019/05/17/23:52:53.566879,760
2019/05/17/23:52:53.583821,760
2019/05/17/23:52:53.600553,759
2019/05/17/23:52:53.618614,762
2019/05/17/23:52:53.636424,761
2019/05/17/23:52:53.649140,761
2019/05/17/23:52:53.667210,762
2019/05/17/23:52:53.684326,762
2019/05/17/23:52:53.702355,761
2019/05/17/23:52:53.714979,761
2019/05/17/23:52:53.733313,760
2019/05/17/23:52:53.750547,762
2019/05/17/23:52:53.767735,762
2019/05/17/23:52:53.781348,763
2019/05/17/23:52:53.800808,766
2019/05/17/23:52:53.818005,765
2019/05/17/23:52:53.835022,764
2019/05/17/23:52:53.853302,765
2019/05/17/23:52:53.871644,765
2019/05/17/23:52:53.888740,764
2019/05/17/23:52:53.907380,763
2019/05/17/23:52:53.924387,763
2019/05/17/23:52:53.941466,762
2019/05/17/23:52:53.959657,762
2019/05/17/23:52:53.976865,763
2019/05/17/23:52:53.995065,763
2019/05/17/23:52:54.012778,762
2019/05/17/23:52:54.031691,764
2019/05/17/23:52:54.047779,763
2019/05/17/23:52:54.067142,763
2019/05/17/23:52:54.083993,763
2019/05/17/23:52:54.102055,762
2019/05/17/23:52:54.121299,762
2019/05/17/23:52:54.138663,761
2019/05/17/23:52:54.155626,761
2019/05/17/23:52:54.172708,761
2019/05/17/23:52:54.190512,761
2019/05/17/23:52:54.208679,761
2019/05/17/23:52:54.226375,760
2019/05/17/23:52:54.244142,760
2019/05/17/23:52:54.261802,760
2019/05/17/23:52:54.278811,759
2019/05/17/23:52:54.295956,759
2019/05/17/23:52:54.315822,759
2019/05/17/23:52:54.334045,761
2019/05/17/23:52:54.351812,760
2019/05/17/23:52:54.370202,760
2019/05/17/23:52:54.388207,760
2019/05/17/23:52:54.405351,759
2019/05/17/23:52:54.422272,760
2019/05/17/23:52:54.439278,762
2019/05/17/23:52:54.457989,762
2019/05/17/23:52:54.476133,761
2019/05/17/23:52:54.494452,761
2019/05/17/23:52:54.512486,762
