time,.data
2019/05/17/23:53:11.699863,528
2019/05/17/23:53:11.716978,528
2019/05/17/23:53:11.734136,528
2019/05/17/23:53:11.751764,528
2019/05/17/23:53:11.768788,528
2019/05/17/23:53:11.785544,529
2019/05/17/23:53:11.803637,529
2019/05/17/23:53:11.820662,528
2019/05/17/23:53:11.838655,529
2019/05/17/23:53:11.854945,528
2019/05/17/23:53:11.872890,529
2019/05/17/23:53:11.891232,529
2019/05/17/23:53:11.908476,528
2019/05/17/23:53:11.927913,528
2019/05/17/23:53:11.944833,528
2019/05/17/23:53:11.961984,527
2019/05/17/23:53:11.979115,527
2019/05/17/23:53:11.998099,527
2019/05/17/23:53:12.015257,528
2019/05/17/23:53:12.032384,527
2019/05/17/23:53:12.046307,528
2019/05/17/23:53:12.063347,530
2019/05/17/23:53:12.082811,529
2019/05/17/23:53:12.098913,529
2019/05/17/23:53:12.116760,529
2019/05/17/23:53:12.133966,528
2019/05/17/23:53:12.151981,528
2019/05/17/23:53:12.169179,528
2019/05/17/23:53:12.186038,527
2019/05/17/23:53:12.204128,528
2019/05/17/23:53:12.224570,528
2019/05/17/23:53:12.238463,528
2019/05/17/23:53:12.255878,527
2019/05/17/23:53:12.275820,529
2019/05/17/23:53:12.292993,529
2019/05/17/23:53:12.312131,528
2019/05/17/23:53:12.330661,528
2019/05/17/23:53:12.349369,528
2019/05/17/23:53:12.366709,530
2019/05/17/23:53:12.384266,529
2019/05/17/23:53:12.401530,529
2019/05/17/23:53:12.419770,530
2019/05/17/23:53:12.436962,530
2019/05/17/23:53:12.454169,529
2019/05/17/23:53:12.473518,529
2019/05/17/23:53:12.489926,529
2019/05/17/23:53:12.508096,528
2019/05/17/23:53:12.526463,528
2019/05/17/23:53:12.544496,529
2019/05/17/23:53:12.562784,529
2019/05/17/23:53:12.578888,528
2019/05/17/23:53:12.597965,528
2019/05/17/23:53:12.616672,528
2019/05/17/23:53:12.634790,528
2019/05/17/23:53:12.651894,527
2019/05/17/23:53:12.666611,527
2019/05/17/23:53:12.683850,527
2019/05/17/23:53:12.700816,527
2019/05/17/23:53:12.718754,526
2019/05/17/23:53:12.734855,526
2019/05/17/23:53:12.752656,527
2019/05/17/23:53:12.769821,527
2019/05/17/23:53:12.786476,528
2019/05/17/23:53:12.805534,528
2019/05/17/23:53:12.822629,528
2019/05/17/23:53:12.840584,528
2019/05/17/23:53:12.858747,527
2019/05/17/23:53:12.876664,527
2019/05/17/23:53:12.894721,527
2019/05/17/23:53:12.911568,526
2019/05/17/23:53:12.927915,527
2019/05/17/23:53:12.945957,526
2019/05/17/23:53:12.963789,528
2019/05/17/23:53:12.983106,528
2019/05/17/23:53:13.000594,529
2019/05/17/23:53:13.019716,528
2019/05/17/23:53:13.036669,528
2019/05/17/23:53:13.054783,528
2019/05/17/23:53:13.071527,528
2019/05/17/23:53:13.089597,527
2019/05/17/23:53:13.107605,527
2019/05/17/23:53:13.124328,527
2019/05/17/23:53:13.142692,527
2019/05/17/23:53:13.159791,527
2019/05/17/23:53:13.176995,526
2019/05/17/23:53:13.193954,528
2019/05/17/23:53:13.211128,528
2019/05/17/23:53:13.228634,528
2019/05/17/23:53:13.246735,527
2019/05/17/23:53:13.263796,528
2019/05/17/23:53:13.281673,528
2019/05/17/23:53:13.298846,532
2019/05/17/23:53:13.315860,531
2019/05/17/23:53:13.334178,531
2019/05/17/23:53:13.352135,530
2019/05/17/23:53:13.370374,530
2019/05/17/23:53:13.386875,529
2019/05/17/23:53:13.403924,529
2019/05/17/23:53:13.420969,530
2019/05/17/23:53:13.438801,529
2019/05/17/23:53:13.457101,529
2019/05/17/23:53:13.474154,529
2019/05/17/23:53:13.493577,529
2019/05/17/23:53:13.509979,528
2019/05/17/23:53:13.526922,529
2019/05/17/23:53:13.543960,529
2019/05/17/23:53:13.562173,528
2019/05/17/23:53:13.580415,528
2019/05/17/23:53:13.597550,528
