time,.data
2019/05/17/23:54:41.130042,263
2019/05/17/23:54:41.146856,264
2019/05/17/23:54:41.166305,263
2019/05/17/23:54:41.184482,263
2019/05/17/23:54:41.201550,262
2019/05/17/23:54:41.218343,262
2019/05/17/23:54:41.236481,263
2019/05/17/23:54:41.255843,263
2019/05/17/23:54:41.272434,262
2019/05/17/23:54:41.291932,262
2019/05/17/23:54:41.309641,263
2019/05/17/23:54:41.327043,262
2019/05/17/23:54:41.343008,262
2019/05/17/23:54:41.360857,261
2019/05/17/23:54:41.379094,261
2019/05/17/23:54:41.396082,261
2019/05/17/23:54:41.413410,261
2019/05/17/23:54:41.435659,262
2019/05/17/23:54:41.453150,261
2019/05/17/23:54:41.470044,261
2019/05/17/23:54:41.488193,263
2019/05/17/23:54:41.504873,262
2019/05/17/23:54:41.521917,262
2019/05/17/23:54:41.538948,261
2019/05/17/23:54:41.557012,261
2019/05/17/23:54:41.573736,260
2019/05/17/23:54:41.590238,259
2019/05/17/23:54:41.608052,260
2019/05/17/23:54:41.625994,259
2019/05/17/23:54:41.644103,259
2019/05/17/23:54:41.662034,259
2019/05/17/23:54:41.678845,258
2019/05/17/23:54:41.696220,260
2019/05/17/23:54:41.715251,259
2019/05/17/23:54:41.731905,262
2019/05/17/23:54:41.749797,262
2019/05/17/23:54:41.768041,261
2019/05/17/23:54:41.785683,264
2019/05/17/23:54:41.803907,263
2019/05/17/23:54:41.820857,266
2019/05/17/23:54:41.838982,265
2019/05/17/23:54:41.855940,265
2019/05/17/23:54:41.872749,267
2019/05/17/23:54:41.890023,266
2019/05/17/23:54:41.906787,266
2019/05/17/23:54:41.925025,267
2019/05/17/23:54:41.941912,266
2019/05/17/23:54:41.960065,265
2019/05/17/23:54:41.978321,265
2019/05/17/23:54:41.996427,264
2019/05/17/23:54:42.013615,263
2019/05/17/23:54:42.031778,262
2019/05/17/23:54:42.048715,261
2019/05/17/23:54:42.066953,261
2019/05/17/23:54:42.084959,261
2019/05/17/23:54:42.102827,260
2019/05/17/23:54:42.120749,260
2019/05/17/23:54:42.138030,259
2019/05/17/23:54:42.154703,259
2019/05/17/23:54:42.172753,258
2019/05/17/23:54:42.189671,259
2019/05/17/23:54:42.206974,258
2019/05/17/23:54:42.224025,258
2019/05/17/23:54:42.243373,258
2019/05/17/23:54:42.258344,257
2019/05/17/23:54:42.276054,257
2019/05/17/23:54:42.295040,257
2019/05/17/23:54:42.311832,257
2019/05/17/23:54:42.330077,257
2019/05/17/23:54:42.348684,256
2019/05/17/23:54:42.365632,256
2019/05/17/23:54:42.383772,256
2019/05/17/23:54:42.401027,256
2019/05/17/23:54:42.417904,256
2019/05/17/23:54:42.436231,255
2019/05/17/23:54:42.454458,255
2019/05/17/23:54:42.472335,256
2019/05/17/23:54:42.490169,256
2019/05/17/23:54:42.506970,258
2019/05/17/23:54:42.524908,258
2019/05/17/23:54:42.543049,258
2019/05/17/23:54:42.561316,261
2019/05/17/23:54:42.578295,261
2019/05/17/23:54:42.595497,264
2019/05/17/23:54:42.614991,263
2019/05/17/23:54:42.631919,264
2019/05/17/23:54:42.649949,267
2019/05/17/23:54:42.666805,266
2019/05/17/23:54:42.686110,268
2019/05/17/23:54:42.704223,267
2019/05/17/23:54:42.721300,266
2019/05/17/23:54:42.738562,267
2019/05/17/23:54:42.755507,266
2019/05/17/23:54:42.775156,265
2019/05/17/23:54:42.792213,264
2019/05/17/23:54:42.812687,264
2019/05/17/23:54:42.829254,264
2019/05/17/23:54:42.846969,264
2019/05/17/23:54:42.866888,263
2019/05/17/23:54:42.884032,262
2019/05/17/23:54:42.900885,262
2019/05/17/23:54:42.919781,261
2019/05/17/23:54:42.936999,262
2019/05/17/23:54:42.954760,261
2019/05/17/23:54:42.971642,261
2019/05/17/23:54:42.989247,261
2019/05/17/23:54:43.007020,260
2019/05/17/23:54:43.025254,260
2019/05/17/23:54:43.043348,260
2019/05/17/23:54:43.060871,259
2019/05/17/23:54:43.079160,260
2019/05/17/23:54:43.096442,260
2019/05/17/23:54:43.114457,259
2019/05/17/23:54:43.131566,260
2019/05/17/23:54:43.148777,259
2019/05/17/23:54:43.165904,259
2019/05/17/23:54:43.184086,260
2019/05/17/23:54:43.202144,261
2019/05/17/23:54:43.219263,262
2019/05/17/23:54:43.236980,262
2019/05/17/23:54:43.254161,262
2019/05/17/23:54:43.272169,263
2019/05/17/23:54:43.290929,264
2019/05/17/23:54:43.312920,263
2019/05/17/23:54:43.331348,264
2019/05/17/23:54:43.348098,264
2019/05/17/23:54:43.365917,263
2019/05/17/23:54:43.383940,265
2019/05/17/23:54:43.401069,265
2019/05/17/23:54:43.417870,267
2019/05/17/23:54:43.436838,266
2019/05/17/23:54:43.453547,266
2019/05/17/23:54:43.471545,267
2019/05/17/23:54:43.488586,266
2019/05/17/23:54:43.507589,266
2019/05/17/23:54:43.526322,265
2019/05/17/23:54:43.543353,265
2019/05/17/23:54:43.561018,263
2019/05/17/23:54:43.580016,264
2019/05/17/23:54:43.598005,263
2019/05/17/23:54:43.615108,262
2019/05/17/23:54:43.634235,262
2019/05/17/23:54:43.651487,263
2019/05/17/23:54:43.668587,264
2019/05/17/23:54:43.686023,263
2019/05/17/23:54:43.702828,263
2019/05/17/23:54:43.720913,264
2019/05/17/23:54:43.733705,263
2019/05/17/23:54:43.751958,262
2019/05/17/23:54:43.764701,264
2019/05/17/23:54:43.784045,264
2019/05/17/23:54:43.803451,265
2019/05/17/23:54:43.821455,264
2019/05/17/23:54:43.839532,264
2019/05/17/23:54:43.857001,265
2019/05/17/23:54:43.873904,265
2019/05/17/23:54:43.892662,265
2019/05/17/23:54:43.909542,264
2019/05/17/23:54:43.928693,265
2019/05/17/23:54:43.946653,266
2019/05/17/23:54:43.963854,266
2019/05/17/23:54:43.980825,265
2019/05/17/23:54:43.997916,264
2019/05/17/23:54:44.015036,265
2019/05/17/23:54:44.029736,264
2019/05/17/23:54:44.047649,263
2019/05/17/23:54:44.064017,263
2019/05/17/23:54:44.082933,263
2019/05/17/23:54:44.100008,262
2019/05/17/23:54:44.117033,263
2019/05/17/23:54:44.135574,263
2019/05/17/23:54:44.154701,263
2019/05/17/23:54:44.171817,262
2019/05/17/23:54:44.190932,264
2019/05/17/23:54:44.209077,265
2019/05/17/23:54:44.225887,265
2019/05/17/23:54:44.243870,265
2019/05/17/23:54:44.260923,265
2019/05/17/23:54:44.279020,264
