time,.data
2019/05/17/23:55:59.324850,191
2019/05/17/23:55:59.342674,191
2019/05/17/23:55:59.359554,190
2019/05/17/23:55:59.377918,188
2019/05/17/23:55:59.396377,188
2019/05/17/23:55:59.413536,188
2019/05/17/23:55:59.431658,187
2019/05/17/23:55:59.448922,186
2019/05/17/23:55:59.465769,186
2019/05/17/23:55:59.483280,186
2019/05/17/23:55:59.501358,186
2019/05/17/23:55:59.520368,185
2019/05/17/23:55:59.538956,185
2019/05/17/23:55:59.555701,185
2019/05/17/23:55:59.569438,187
2019/05/17/23:55:59.587476,187
2019/05/17/23:55:59.604723,186
2019/05/17/23:55:59.622682,190
2019/05/17/23:55:59.639903,189
2019/05/17/23:55:59.658074,193
2019/05/17/23:55:59.675979,192
2019/05/17/23:55:59.694457,191
2019/05/17/23:55:59.711337,194
2019/05/17/23:55:59.730275,193
2019/05/17/23:55:59.748918,194
2019/05/17/23:55:59.765974,193
2019/05/17/23:55:59.783798,192
2019/05/17/23:55:59.800502,193
2019/05/17/23:55:59.818359,192
2019/05/17/23:55:59.837566,191
2019/05/17/23:55:59.856266,190
2019/05/17/23:55:59.874292,190
2019/05/17/23:55:59.892565,191
2019/05/17/23:55:59.910088,190
2019/05/17/23:55:59.927413,190
2019/05/17/23:55:59.946111,191
2019/05/17/23:55:59.964283,190
2019/05/17/23:55:59.981930,188
2019/05/17/23:56:00.000343,188
2019/05/17/23:56:00.013195,187
2019/05/17/23:56:00.031400,187
2019/05/17/23:56:00.049695,186
2019/05/17/23:56:00.066626,186
2019/05/17/23:56:00.085970,186
2019/05/17/23:56:00.102968,187
2019/05/17/23:56:00.121375,186
2019/05/17/23:56:00.138672,186
2019/05/17/23:56:00.155644,185
2019/05/17/23:56:00.175122,185
2019/05/17/23:56:00.191989,185
2019/05/17/23:56:00.210172,184
2019/05/17/23:56:00.228179,183
2019/05/17/23:56:00.246298,183
2019/05/17/23:56:00.263863,185
2019/05/17/23:56:00.281198,185
2019/05/17/23:56:00.298611,186
2019/05/17/23:56:00.316192,186
2019/05/17/23:56:00.333372,185
2019/05/17/23:56:00.349164,188
2019/05/17/23:56:00.367625,187
2019/05/17/23:56:00.384663,189
