time,.data
2019/05/17/23:55:35.490213,206
2019/05/17/23:55:35.508096,210
2019/05/17/23:55:35.526340,210
2019/05/17/23:55:35.543472,213
2019/05/17/23:55:35.561544,213
2019/05/17/23:55:35.575428,211
2019/05/17/23:55:35.593475,215
2019/05/17/23:55:35.611783,215
2019/05/17/23:55:35.630045,217
2019/05/17/23:55:35.648049,216
2019/05/17/23:55:35.665753,215
2019/05/17/23:55:35.683087,216
2019/05/17/23:55:35.700334,215
2019/05/17/23:55:35.718037,214
2019/05/17/23:55:35.735118,213
2019/05/17/23:55:35.753169,213
2019/05/17/23:55:35.769597,211
2019/05/17/23:55:35.787361,210
2019/05/17/23:55:35.805476,209
2019/05/17/23:55:35.823134,209
2019/05/17/23:55:35.841475,208
2019/05/17/23:55:35.858982,209
2019/05/17/23:55:35.876574,209
2019/05/17/23:55:35.895090,208
2019/05/17/23:55:35.909803,208
2019/05/17/23:55:35.927808,207
2019/05/17/23:55:35.944355,206
2019/05/17/23:55:35.962370,206
2019/05/17/23:55:35.978513,206
2019/05/17/23:55:35.995695,206
2019/05/17/23:55:36.013648,207
2019/05/17/23:55:36.032115,206
2019/05/17/23:55:36.049145,206
2019/05/17/23:55:36.066037,206
2019/05/17/23:55:36.083949,205
2019/05/17/23:55:36.102038,205
2019/05/17/23:55:36.119138,205
2019/05/17/23:55:36.137986,205
2019/05/17/23:55:36.155210,204
2019/05/17/23:55:36.173091,205
2019/05/17/23:55:36.189981,205
2019/05/17/23:55:36.208321,205
2019/05/17/23:55:36.225274,206
2019/05/17/23:55:36.242338,206
2019/05/17/23:55:36.260097,206
2019/05/17/23:55:36.278097,208
2019/05/17/23:55:36.295250,209
2019/05/17/23:55:36.313077,212
2019/05/17/23:55:36.329463,211
2019/05/17/23:55:36.346986,211
2019/05/17/23:55:36.366027,214
2019/05/17/23:55:36.383074,213
2019/05/17/23:55:36.400065,212
2019/05/17/23:55:36.418349,211
2019/05/17/23:55:36.436472,211
2019/05/17/23:55:36.453179,213
2019/05/17/23:55:36.471186,212
2019/05/17/23:55:36.490145,211
2019/05/17/23:55:36.508167,211
2019/05/17/23:55:36.525237,210
2019/05/17/23:55:36.544466,209
2019/05/17/23:55:36.561627,209
2019/05/17/23:55:36.578429,209
2019/05/17/23:55:36.596344,208
2019/05/17/23:55:36.613114,207
2019/05/17/23:55:36.631044,207
2019/05/17/23:55:36.649270,206
2019/05/17/23:55:36.668322,207
2019/05/17/23:55:36.687150,206
2019/05/17/23:55:36.704995,207
2019/05/17/23:55:36.722994,208
