time,.data
2019/05/17/23:57:38.166653,137
2019/05/17/23:57:38.183715,137
2019/05/17/23:57:38.200922,136
2019/05/17/23:57:38.218115,136
2019/05/17/23:57:38.235289,137
2019/05/17/23:57:38.253842,136
2019/05/17/23:57:38.271430,136
2019/05/17/23:57:38.289600,136
2019/05/17/23:57:38.307539,136
2019/05/17/23:57:38.325841,139
2019/05/17/23:57:38.343377,140
2019/05/17/23:57:38.361428,139
2019/05/17/23:57:38.379205,139
2019/05/17/23:57:38.396288,138
2019/05/17/23:57:38.413450,141
2019/05/17/23:57:38.430432,140
2019/05/17/23:57:38.447920,140
2019/05/17/23:57:38.465958,140
2019/05/17/23:57:38.484213,139
2019/05/17/23:57:38.503419,141
2019/05/17/23:57:38.520475,140
2019/05/17/23:57:38.538965,140
2019/05/17/23:57:38.555969,140
2019/05/17/23:57:38.573224,139
2019/05/17/23:57:38.590258,140
2019/05/17/23:57:38.608762,140
2019/05/17/23:57:38.626929,139
2019/05/17/23:57:38.639892,139
2019/05/17/23:57:38.658278,139
2019/05/17/23:57:38.675302,138
2019/05/17/23:57:38.693682,138
2019/05/17/23:57:38.711421,139
2019/05/17/23:57:38.728567,139
2019/05/17/23:57:38.745575,139
2019/05/17/23:57:38.762656,139
2019/05/17/23:57:38.779716,138
2019/05/17/23:57:38.799277,141
2019/05/17/23:57:38.817701,141
2019/05/17/23:57:38.835934,140
2019/05/17/23:57:38.849995,145
2019/05/17/23:57:38.865829,144
2019/05/17/23:57:38.885072,146
2019/05/17/23:57:38.903503,145
2019/05/17/23:57:38.920608,145
2019/05/17/23:57:38.939113,145
2019/05/17/23:57:38.957261,145
2019/05/17/23:57:38.974821,144
2019/05/17/23:57:38.990549,144
2019/05/17/23:57:39.009597,143
2019/05/17/23:57:39.026468,144
2019/05/17/23:57:39.044683,143
2019/05/17/23:57:39.062813,142
2019/05/17/23:57:39.080999,143
2019/05/17/23:57:39.098908,142
2019/05/17/23:57:39.116603,142
2019/05/17/23:57:39.135317,142
2019/05/17/23:57:39.152377,141
2019/05/17/23:57:39.169663,141
2019/05/17/23:57:39.186371,141
2019/05/17/23:57:39.204741,141
2019/05/17/23:57:39.221794,140
2019/05/17/23:57:39.238861,140
2019/05/17/23:57:39.257353,140
2019/05/17/23:57:39.274395,141
2019/05/17/23:57:39.291515,140
2019/05/17/23:57:39.309449,140
2019/05/17/23:57:39.326709,140
2019/05/17/23:57:39.344387,139
2019/05/17/23:57:39.362634,139
2019/05/17/23:57:39.379757,139
2019/05/17/23:57:39.396738,139
2019/05/17/23:57:39.413911,138
2019/05/17/23:57:39.432104,138
2019/05/17/23:57:39.449065,138
2019/05/17/23:57:39.466502,138
2019/05/17/23:57:39.483631,139
2019/05/17/23:57:39.501729,139
2019/05/17/23:57:39.521616,138
2019/05/17/23:57:39.537561,138
2019/05/17/23:57:39.555635,138
2019/05/17/23:57:39.573853,141
2019/05/17/23:57:39.590777,141
2019/05/17/23:57:39.610237,141
2019/05/17/23:57:39.628232,140
2019/05/17/23:57:39.645586,140
2019/05/17/23:57:39.663895,143
2019/05/17/23:57:39.681121,143
2019/05/17/23:57:39.699457,142
2019/05/17/23:57:39.716712,142
2019/05/17/23:57:39.735296,142
2019/05/17/23:57:39.752107,142
2019/05/17/23:57:39.769659,142
2019/05/17/23:57:39.783535,141
2019/05/17/23:57:39.801288,141
2019/05/17/23:57:39.819545,141
2019/05/17/23:57:39.837584,140
2019/05/17/23:57:39.853825,139
2019/05/17/23:57:39.871908,139
2019/05/17/23:57:39.893560,139
2019/05/17/23:57:39.910667,139
2019/05/17/23:57:39.929003,139
2019/05/17/23:57:39.946068,137
2019/05/17/23:57:39.963598,137
2019/05/17/23:57:39.980591,137
2019/05/17/23:57:40.000411,137
2019/05/17/23:57:40.018278,138
2019/05/17/23:57:40.036514,138
2019/05/17/23:57:40.054769,138
2019/05/17/23:57:40.071662,139
2019/05/17/23:57:40.091058,139
2019/05/17/23:57:40.109044,139
2019/05/17/23:57:40.126875,138
2019/05/17/23:57:40.143840,138
2019/05/17/23:57:40.160849,139
2019/05/17/23:57:40.178516,139
2019/05/17/23:57:40.196678,138
2019/05/17/23:57:40.214947,138
2019/05/17/23:57:40.233227,139
2019/05/17/23:57:40.250493,138
2019/05/17/23:57:40.267257,138
2019/05/17/23:57:40.285264,138
2019/05/17/23:57:40.302454,139
2019/05/17/23:57:40.319589,139
2019/05/17/23:57:40.337893,139
2019/05/17/23:57:40.356786,141
2019/05/17/23:57:40.373959,141
2019/05/17/23:57:40.392024,143
2019/05/17/23:57:40.409671,142
2019/05/17/23:57:40.427429,142
2019/05/17/23:57:40.444492,144
2019/05/17/23:57:40.461505,143
2019/05/17/23:57:40.479735,145
2019/05/17/23:57:40.497208,145
2019/05/17/23:57:40.514349,144
2019/05/17/23:57:40.532511,147
2019/05/17/23:57:40.550122,146
2019/05/17/23:57:40.567097,146
2019/05/17/23:57:40.585356,146
2019/05/17/23:57:40.602406,147
2019/05/17/23:57:40.619486,147
2019/05/17/23:57:40.636553,146
2019/05/17/23:57:40.655184,145
2019/05/17/23:57:40.674461,145
2019/05/17/23:57:40.692843,145
2019/05/17/23:57:40.708577,144
2019/05/17/23:57:40.725919,143
2019/05/17/23:57:40.743625,143
2019/05/17/23:57:40.761677,141
2019/05/17/23:57:40.778671,143
2019/05/17/23:57:40.797396,142
2019/05/17/23:57:40.814502,143
2019/05/17/23:57:40.832294,145
2019/05/17/23:57:40.849478,145
2019/05/17/23:57:40.866084,146
2019/05/17/23:57:40.884277,146
2019/05/17/23:57:40.901117,145
2019/05/17/23:57:40.919872,145
2019/05/17/23:57:40.936889,144
2019/05/17/23:57:40.955667,144
2019/05/17/23:57:40.974052,144
2019/05/17/23:57:40.990535,143
2019/05/17/23:57:41.007750,144
2019/05/17/23:57:41.024812,143
2019/05/17/23:57:41.042594,142
2019/05/17/23:57:41.059808,142
2019/05/17/23:57:41.076882,142
2019/05/17/23:57:41.093946,142
2019/05/17/23:57:41.113164,141
2019/05/17/23:57:41.131438,141
2019/05/17/23:57:41.149152,140
2019/05/17/23:57:41.166172,142
2019/05/17/23:57:41.184289,141
2019/05/17/23:57:41.201614,141
2019/05/17/23:57:41.218835,142
2019/05/17/23:57:41.236446,142
2019/05/17/23:57:41.254247,143
2019/05/17/23:57:41.271850,142
2019/05/17/23:57:41.290320,142
2019/05/17/23:57:41.308527,143
2019/05/17/23:57:41.326764,143
2019/05/17/23:57:41.344949,142
2019/05/17/23:57:41.363119,142
2019/05/17/23:57:41.381336,141
2019/05/17/23:57:41.398429,141
2019/05/17/23:57:41.417779,140
2019/05/17/23:57:41.436002,140
2019/05/17/23:57:41.452153,140
2019/05/17/23:57:41.469252,140
2019/05/17/23:57:41.487616,140
2019/05/17/23:57:41.503549,142
2019/05/17/23:57:41.522768,141
2019/05/17/23:57:41.539758,141
2019/05/17/23:57:41.557677,143
2019/05/17/23:57:41.575102,143
2019/05/17/23:57:41.593181,147
2019/05/17/23:57:41.611677,146
2019/05/17/23:57:41.629520,145
2019/05/17/23:57:41.647483,148
2019/05/17/23:57:41.665509,147
2019/05/17/23:57:41.684603,149
2019/05/17/23:57:41.701702,148
2019/05/17/23:57:41.719536,148
2019/05/17/23:57:41.738449,150
2019/05/17/23:57:41.756600,149
2019/05/17/23:57:41.773843,149
2019/05/17/23:57:41.791756,148
2019/05/17/23:57:41.809137,148
2019/05/17/23:57:41.827086,147
2019/05/17/23:57:41.845311,147
2019/05/17/23:57:41.862945,146
