time,.data
2019/05/17/23:54:23.000877,293
2019/05/17/23:54:23.017093,292
2019/05/17/23:54:23.036256,291
2019/05/17/23:54:23.054640,291
2019/05/17/23:54:23.071509,293
2019/05/17/23:54:23.090896,293
2019/05/17/23:54:23.108963,293
2019/05/17/23:54:23.128180,292
2019/05/17/23:54:23.144139,294
2019/05/17/23:54:23.161221,295
2019/05/17/23:54:23.180447,298
2019/05/17/23:54:23.198449,297
2019/05/17/23:54:23.215643,297
2019/05/17/23:54:23.233871,299
2019/05/17/23:54:23.252002,299
2019/05/17/23:54:23.268981,301
2019/05/17/23:54:23.287015,300
2019/05/17/23:54:23.306174,300
2019/05/17/23:54:23.322928,301
2019/05/17/23:54:23.340185,302
2019/05/17/23:54:23.358095,302
2019/05/17/23:54:23.375910,301
2019/05/17/23:54:23.393849,301
2019/05/17/23:54:23.411119,299
2019/05/17/23:54:23.427733,299
2019/05/17/23:54:23.446018,298
2019/05/17/23:54:23.463171,297
2019/05/17/23:54:23.481368,296
2019/05/17/23:54:23.499731,296
2019/05/17/23:54:23.516819,295
2019/05/17/23:54:23.535011,296
2019/05/17/23:54:23.551577,296
2019/05/17/23:54:23.570206,295
2019/05/17/23:54:23.587163,295
2019/05/17/23:54:23.604995,295
2019/05/17/23:54:23.621790,294
2019/05/17/23:54:23.639125,294
2019/05/17/23:54:23.657683,293
2019/05/17/23:54:23.674457,293
2019/05/17/23:54:23.692019,293
2019/05/17/23:54:23.708933,292
2019/05/17/23:54:23.726196,291
2019/05/17/23:54:23.743650,291
2019/05/17/23:54:23.762793,291
2019/05/17/23:54:23.779686,290
2019/05/17/23:54:23.796410,290
2019/05/17/23:54:23.814731,290
2019/05/17/23:54:23.832733,290
2019/05/17/23:54:23.846543,290
2019/05/17/23:54:23.864609,290
2019/05/17/23:54:23.881893,290
2019/05/17/23:54:23.899094,290
2019/05/17/23:54:23.916955,291
2019/05/17/23:54:23.934185,291
2019/05/17/23:54:23.951103,291
2019/05/17/23:54:23.970797,291
2019/05/17/23:54:23.988865,290
2019/05/17/23:54:24.005751,293
2019/05/17/23:54:24.019465,293
2019/05/17/23:54:24.037432,294
2019/05/17/23:54:24.054634,297
2019/05/17/23:54:24.072616,297
2019/05/17/23:54:24.089747,299
2019/05/17/23:54:24.106312,298
2019/05/17/23:54:24.123121,297
2019/05/17/23:54:24.141772,298
2019/05/17/23:54:24.159405,297
2019/05/17/23:54:24.177642,296
2019/05/17/23:54:24.195996,296
2019/05/17/23:54:24.213293,296
2019/05/17/23:54:24.231411,294
2019/05/17/23:54:24.249650,294
2019/05/17/23:54:24.266713,295
2019/05/17/23:54:24.283839,294
2019/05/17/23:54:24.300862,295
2019/05/17/23:54:24.319052,294
2019/05/17/23:54:24.336703,294
2019/05/17/23:54:24.354743,294
2019/05/17/23:54:24.372343,293
2019/05/17/23:54:24.389784,294
2019/05/17/23:54:24.407967,293
2019/05/17/23:54:24.425706,293
2019/05/17/23:54:24.444041,293
2019/05/17/23:54:24.461075,293
2019/05/17/23:54:24.480278,293
2019/05/17/23:54:24.498734,292
2019/05/17/23:54:24.516742,292
2019/05/17/23:54:24.534853,292
2019/05/17/23:54:24.551298,292
2019/05/17/23:54:24.570655,291
2019/05/17/23:54:24.588613,292
2019/05/17/23:54:24.605740,291
2019/05/17/23:54:24.624737,292
2019/05/17/23:54:24.641826,292
2019/05/17/23:54:24.659125,292
2019/05/17/23:54:24.676792,293
2019/05/17/23:54:24.693990,293
2019/05/17/23:54:24.711784,293
2019/05/17/23:54:24.729383,294
2019/05/17/23:54:24.747035,294
2019/05/17/23:54:24.764037,293
2019/05/17/23:54:24.781722,295
2019/05/17/23:54:24.799946,294
2019/05/17/23:54:24.817849,296
2019/05/17/23:54:24.836018,295
2019/05/17/23:54:24.852933,295
2019/05/17/23:54:24.870738,298
2019/05/17/23:54:24.888628,297
2019/05/17/23:54:24.905075,296
2019/05/17/23:54:24.923466,296
2019/05/17/23:54:24.940602,295
2019/05/17/23:54:24.958533,293
2019/05/17/23:54:24.976635,293
2019/05/17/23:54:24.993989,293
2019/05/17/23:54:25.011463,292
2019/05/17/23:54:25.029097,292
2019/05/17/23:54:25.046847,291
2019/05/17/23:54:25.064002,291
2019/05/17/23:54:25.081217,292
2019/05/17/23:54:25.098746,292
2019/05/17/23:54:25.115899,294
2019/05/17/23:54:25.133166,294
2019/05/17/23:54:25.150663,294
2019/05/17/23:54:25.169962,296
2019/05/17/23:54:25.185943,295
2019/05/17/23:54:25.203860,297
2019/05/17/23:54:25.221022,298
2019/05/17/23:54:25.234802,297
2019/05/17/23:54:25.252096,298
2019/05/17/23:54:25.269040,298
2019/05/17/23:54:25.287206,297
2019/05/17/23:54:25.304757,300
2019/05/17/23:54:25.322957,300
2019/05/17/23:54:25.339692,300
2019/05/17/23:54:25.358820,299
2019/05/17/23:54:25.376839,298
2019/05/17/23:54:25.393739,298
2019/05/17/23:54:25.411923,299
2019/05/17/23:54:25.428939,299
2019/05/17/23:54:25.447242,298
2019/05/17/23:54:25.464202,296
2019/05/17/23:54:25.481245,298
2019/05/17/23:54:25.498453,297
2019/05/17/23:54:25.515390,297
2019/05/17/23:54:25.530332,296
2019/05/17/23:54:25.547034,296
2019/05/17/23:54:25.566106,297
2019/05/17/23:54:25.582823,296
2019/05/17/23:54:25.599926,296
2019/05/17/23:54:25.616039,295
2019/05/17/23:54:25.633843,295
2019/05/17/23:54:25.653073,294
2019/05/17/23:54:25.671044,294
2019/05/17/23:54:25.688460,293
2019/05/17/23:54:25.705342,293
2019/05/17/23:54:25.722459,292
2019/05/17/23:54:25.739605,291
2019/05/17/23:54:25.756428,291
2019/05/17/23:54:25.774719,290
2019/05/17/23:54:25.791673,290
2019/05/17/23:54:25.809231,290
2019/05/17/23:54:25.827343,290
2019/05/17/23:54:25.844867,290
2019/05/17/23:54:25.863861,290
2019/05/17/23:54:25.881380,290
2019/05/17/23:54:25.898711,292
2019/05/17/23:54:25.917058,291
2019/05/17/23:54:25.934411,291
2019/05/17/23:54:25.952493,291
2019/05/17/23:54:25.969559,290
2019/05/17/23:54:25.988456,294
2019/05/17/23:54:26.005949,294
2019/05/17/23:54:26.022775,294
2019/05/17/23:54:26.040001,293
2019/05/17/23:54:26.058131,293
2019/05/17/23:54:26.074920,294
2019/05/17/23:54:26.092413,296
2019/05/17/23:54:26.108888,297
2019/05/17/23:54:26.128232,296
2019/05/17/23:54:26.145003,296
2019/05/17/23:54:26.162112,295
2019/05/17/23:54:26.179228,294
2019/05/17/23:54:26.197714,294
2019/05/17/23:54:26.215784,293
2019/05/17/23:54:26.233555,293
2019/05/17/23:54:26.250859,293
2019/05/17/23:54:26.269894,293
2019/05/17/23:54:26.286147,293
2019/05/17/23:54:26.304183,293
2019/05/17/23:54:26.322127,292
2019/05/17/23:54:26.340305,292
2019/05/17/23:54:26.356894,293
2019/05/17/23:54:26.375956,295
2019/05/17/23:54:26.394161,294
2019/05/17/23:54:26.411520,294
2019/05/17/23:54:26.429793,294
2019/05/17/23:54:26.447838,293
2019/05/17/23:54:26.465793,292
2019/05/17/23:54:26.482713,292
2019/05/17/23:54:26.501001,292
2019/05/17/23:54:26.519966,291
2019/05/17/23:54:26.536945,291
2019/05/17/23:54:26.554072,291
2019/05/17/23:54:26.572644,292
2019/05/17/23:54:26.590132,291
2019/05/17/23:54:26.609920,291
2019/05/17/23:54:26.623485,292
2019/05/17/23:54:26.640450,291
2019/05/17/23:54:26.657587,291
2019/05/17/23:54:26.675697,293
2019/05/17/23:54:26.694095,292
2019/05/17/23:54:26.710809,295
2019/05/17/23:54:26.728060,295
2019/05/17/23:54:26.744867,294
2019/05/17/23:54:26.763984,297
2019/05/17/23:54:26.780804,297
2019/05/17/23:54:26.798694,299
2019/05/17/23:54:26.818363,298
2019/05/17/23:54:26.834076,297
2019/05/17/23:54:26.851997,300
2019/05/17/23:54:26.869030,300
2019/05/17/23:54:26.887056,299
2019/05/17/23:54:26.904023,298
2019/05/17/23:54:26.923010,298
2019/05/17/23:54:26.939990,298
2019/05/17/23:54:26.957137,297
2019/05/17/23:54:26.975493,296
2019/05/17/23:54:26.993677,296
2019/05/17/23:54:27.010908,296
2019/05/17/23:54:27.027727,295
2019/05/17/23:54:27.045069,295
2019/05/17/23:54:27.062747,294
2019/05/17/23:54:27.080259,294
2019/05/17/23:54:27.096955,295
2019/05/17/23:54:27.115124,294
2019/05/17/23:54:27.133460,295
2019/05/17/23:54:27.151062,295
2019/05/17/23:54:27.169159,294
2019/05/17/23:54:27.186899,294
2019/05/17/23:54:27.205033,294
2019/05/17/23:54:27.224144,293
2019/05/17/23:54:27.241050,294
2019/05/17/23:54:27.259218,293
2019/05/17/23:54:27.277115,292
2019/05/17/23:54:27.293291,292
2019/05/17/23:54:27.311997,293
2019/05/17/23:54:27.330215,292
2019/05/17/23:54:27.348386,293
2019/05/17/23:54:27.366272,293
2019/05/17/23:54:27.384270,292
2019/05/17/23:54:27.401260,293
2019/05/17/23:54:27.419613,293
2019/05/17/23:54:27.437711,292
2019/05/17/23:54:27.456230,292
2019/05/17/23:54:27.473074,292
2019/05/17/23:54:27.490662,295
2019/05/17/23:54:27.504358,295
2019/05/17/23:54:27.523583,295
2019/05/17/23:54:27.541817,297
2019/05/17/23:54:27.559527,296
2019/05/17/23:54:27.576996,298
2019/05/17/23:54:27.597309,297
2019/05/17/23:54:27.615896,297
2019/05/17/23:54:27.632630,296
2019/05/17/23:54:27.649948,295
2019/05/17/23:54:27.666916,295
2019/05/17/23:54:27.685267,295
2019/05/17/23:54:27.702161,294
2019/05/17/23:54:27.721719,294
2019/05/17/23:54:27.738594,294
2019/05/17/23:54:27.756827,293
2019/05/17/23:54:27.774082,293
2019/05/17/23:54:27.789968,293
