time,.data
2019/05/17/23:57:38.165421,151
2019/05/17/23:57:38.182501,151
2019/05/17/23:57:38.199710,150
2019/05/17/23:57:38.216883,151
2019/05/17/23:57:38.234035,151
2019/05/17/23:57:38.252609,151
2019/05/17/23:57:38.270238,153
2019/05/17/23:57:38.288376,153
2019/05/17/23:57:38.306374,153
2019/05/17/23:57:38.324584,154
2019/05/17/23:57:38.342289,154
2019/05/17/23:57:38.360092,154
2019/05/17/23:57:38.378038,154
2019/05/17/23:57:38.395074,154
2019/05/17/23:57:38.412197,153
2019/05/17/23:57:38.429172,153
2019/05/17/23:57:38.446649,152
2019/05/17/23:57:38.464796,152
2019/05/17/23:57:38.482994,152
2019/05/17/23:57:38.502365,151
2019/05/17/23:57:38.519287,152
2019/05/17/23:57:38.537790,151
2019/05/17/23:57:38.554693,151
2019/05/17/23:57:38.572016,153
2019/05/17/23:57:38.589119,153
2019/05/17/23:57:38.607525,153
2019/05/17/23:57:38.625845,153
2019/05/17/23:57:38.638671,153
2019/05/17/23:57:38.657078,155
2019/05/17/23:57:38.673947,155
2019/05/17/23:57:38.692308,157
2019/05/17/23:57:38.710318,156
2019/05/17/23:57:38.727324,156
2019/05/17/23:57:38.744338,156
2019/05/17/23:57:38.761495,155
2019/05/17/23:57:38.778566,155
2019/05/17/23:57:38.798083,153
2019/05/17/23:57:38.816551,153
2019/05/17/23:57:38.834640,153
2019/05/17/23:57:38.848750,150
2019/05/17/23:57:38.864599,152
2019/05/17/23:57:38.883826,148
2019/05/17/23:57:38.902284,148
2019/05/17/23:57:38.919435,149
2019/05/17/23:57:38.937963,146
2019/05/17/23:57:38.956059,146
2019/05/17/23:57:38.973355,144
2019/05/17/23:57:38.989413,145
2019/05/17/23:57:39.008413,145
2019/05/17/23:57:39.025295,144
2019/05/17/23:57:39.043472,145
2019/05/17/23:57:39.061673,145
2019/05/17/23:57:39.079892,145
2019/05/17/23:57:39.097682,146
2019/05/17/23:57:39.115458,147
2019/05/17/23:57:39.134094,149
2019/05/17/23:57:39.151137,149
2019/05/17/23:57:39.168463,149
2019/05/17/23:57:39.185272,149
2019/05/17/23:57:39.203407,149
2019/05/17/23:57:39.220642,149
2019/05/17/23:57:39.237649,151
2019/05/17/23:57:39.256096,151
2019/05/17/23:57:39.273094,151
2019/05/17/23:57:39.290338,151
2019/05/17/23:57:39.308289,151
2019/05/17/23:57:39.325517,152
2019/05/17/23:57:39.343264,151
2019/05/17/23:57:39.361455,151
2019/05/17/23:57:39.378661,151
2019/05/17/23:57:39.395529,151
2019/05/17/23:57:39.412710,153
2019/05/17/23:57:39.430848,153
2019/05/17/23:57:39.447760,154
2019/05/17/23:57:39.465329,154
2019/05/17/23:57:39.482438,153
2019/05/17/23:57:39.500583,153
2019/05/17/23:57:39.520479,153
2019/05/17/23:57:39.536487,152
2019/05/17/23:57:39.554453,152
2019/05/17/23:57:39.572608,150
2019/05/17/23:57:39.589652,150
2019/05/17/23:57:39.608967,153
2019/05/17/23:57:39.627095,153
2019/05/17/23:57:39.644249,153
2019/05/17/23:57:39.662777,150
2019/05/17/23:57:39.679845,149
2019/05/17/23:57:39.698294,146
2019/05/17/23:57:39.715491,146
2019/05/17/23:57:39.733908,147
2019/05/17/23:57:39.750874,145
2019/05/17/23:57:39.768407,145
2019/05/17/23:57:39.782403,146
2019/05/17/23:57:39.800019,146
2019/05/17/23:57:39.818320,146
2019/05/17/23:57:39.836433,146
2019/05/17/23:57:39.852539,147
2019/05/17/23:57:39.870725,147
2019/05/17/23:57:39.892309,147
2019/05/17/23:57:39.909421,148
2019/05/17/23:57:39.927759,149
2019/05/17/23:57:39.944803,149
2019/05/17/23:57:39.962399,149
2019/05/17/23:57:39.979488,149
2019/05/17/23:57:39.999326,151
2019/05/17/23:57:40.017067,150
2019/05/17/23:57:40.035202,150
2019/05/17/23:57:40.053501,149
2019/05/17/23:57:40.070409,150
2019/05/17/23:57:40.089788,150
2019/05/17/23:57:40.107922,150
2019/05/17/23:57:40.125390,151
2019/05/17/23:57:40.142701,150
2019/05/17/23:57:40.159539,152
2019/05/17/23:57:40.177292,152
2019/05/17/23:57:40.195438,152
2019/05/17/23:57:40.213692,151
2019/05/17/23:57:40.231811,151
2019/05/17/23:57:40.249138,151
2019/05/17/23:57:40.266119,151
2019/05/17/23:57:40.284033,151
2019/05/17/23:57:40.301280,151
2019/05/17/23:57:40.318434,152
2019/05/17/23:57:40.336757,154
2019/05/17/23:57:40.355456,153
2019/05/17/23:57:40.372710,153
2019/05/17/23:57:40.390805,152
2019/05/17/23:57:40.408369,152
2019/05/17/23:57:40.426258,153
2019/05/17/23:57:40.443234,153
2019/05/17/23:57:40.460468,153
2019/05/17/23:57:40.478526,152
2019/05/17/23:57:40.495980,152
2019/05/17/23:57:40.513192,152
2019/05/17/23:57:40.531284,153
2019/05/17/23:57:40.549019,153
2019/05/17/23:57:40.565815,150
2019/05/17/23:57:40.584056,151
2019/05/17/23:57:40.601170,151
2019/05/17/23:57:40.618247,152
2019/05/17/23:57:40.635437,152
2019/05/17/23:57:40.654021,152
2019/05/17/23:57:40.673218,152
2019/05/17/23:57:40.691618,153
2019/05/17/23:57:40.707467,153
2019/05/17/23:57:40.724577,154
2019/05/17/23:57:40.742335,154
2019/05/17/23:57:40.760484,154
2019/05/17/23:57:40.777493,152
2019/05/17/23:57:40.796294,152
2019/05/17/23:57:40.813310,151
2019/05/17/23:57:40.831057,149
2019/05/17/23:57:40.848326,149
2019/05/17/23:57:40.864904,146
2019/05/17/23:57:40.883122,147
2019/05/17/23:57:40.899977,147
2019/05/17/23:57:40.918697,146
