time,.data
2019/05/17/23:57:17.744515,148
2019/05/17/23:57:17.763503,148
2019/05/17/23:57:17.780546,150
2019/05/17/23:57:17.797489,150
2019/05/17/23:57:17.814625,149
2019/05/17/23:57:17.831327,152
2019/05/17/23:57:17.848547,151
2019/05/17/23:57:17.865325,152
2019/05/17/23:57:17.884343,150
2019/05/17/23:57:17.901486,150
2019/05/17/23:57:17.919755,149
2019/05/17/23:57:17.938193,148
2019/05/17/23:57:17.955175,148
2019/05/17/23:57:17.972309,147
2019/05/17/23:57:17.991240,147
2019/05/17/23:57:18.008438,147
2019/05/17/23:57:18.025517,147
2019/05/17/23:57:18.043599,147
2019/05/17/23:57:18.060389,147
2019/05/17/23:57:18.079115,148
2019/05/17/23:57:18.097336,148
2019/05/17/23:57:18.116294,151
2019/05/17/23:57:18.133496,150
2019/05/17/23:57:18.150402,150
2019/05/17/23:57:18.168410,153
2019/05/17/23:57:18.185405,152
2019/05/17/23:57:18.204472,155
2019/05/17/23:57:18.221565,154
2019/05/17/23:57:18.242033,155
2019/05/17/23:57:18.259994,158
2019/05/17/23:57:18.277752,157
2019/05/17/23:57:18.294769,157
2019/05/17/23:57:18.313452,157
2019/05/17/23:57:18.330045,156
2019/05/17/23:57:18.346964,155
2019/05/17/23:57:18.367459,154
2019/05/17/23:57:18.383610,153
2019/05/17/23:57:18.400844,153
2019/05/17/23:57:18.418096,152
2019/05/17/23:57:18.436604,152
2019/05/17/23:57:18.453839,151
2019/05/17/23:57:18.470793,150
2019/05/17/23:57:18.489283,150
2019/05/17/23:57:18.502488,149
2019/05/17/23:57:18.519477,149
2019/05/17/23:57:18.537974,149
2019/05/17/23:57:18.556211,148
2019/05/17/23:57:18.573149,148
2019/05/17/23:57:18.592435,148
2019/05/17/23:57:18.610573,147
2019/05/17/23:57:18.627538,148
2019/05/17/23:57:18.645783,147
2019/05/17/23:57:18.662541,147
2019/05/17/23:57:18.679520,146
2019/05/17/23:57:18.697903,146
2019/05/17/23:57:18.713797,146
2019/05/17/23:57:18.731337,146
2019/05/17/23:57:18.749344,145
2019/05/17/23:57:18.767651,144
2019/05/17/23:57:18.784342,144
2019/05/17/23:57:18.802548,144
2019/05/17/23:57:18.820764,144
2019/05/17/23:57:18.838866,144
2019/05/17/23:57:18.852559,145
2019/05/17/23:57:18.869313,145
2019/05/17/23:57:18.889694,147
2019/05/17/23:57:18.906665,147
2019/05/17/23:57:18.923934,147
2019/05/17/23:57:18.940931,151
2019/05/17/23:57:18.958002,151
2019/05/17/23:57:18.975629,150
2019/05/17/23:57:18.993723,149
2019/05/17/23:57:19.011561,149
2019/05/17/23:57:19.029669,153
2019/05/17/23:57:19.046722,153
2019/05/17/23:57:19.064902,153
2019/05/17/23:57:19.084062,152
2019/05/17/23:57:19.101171,151
2019/05/17/23:57:19.119162,152
2019/05/17/23:57:19.136548,151
2019/05/17/23:57:19.155739,150
2019/05/17/23:57:19.172567,150
2019/05/17/23:57:19.190027,150
2019/05/17/23:57:19.209439,150
2019/05/17/23:57:19.226427,149
2019/05/17/23:57:19.244531,149
2019/05/17/23:57:19.261506,148
2019/05/17/23:57:19.278338,147
2019/05/17/23:57:19.296742,147
2019/05/17/23:57:19.313615,147
2019/05/17/23:57:19.331502,148
2019/05/17/23:57:19.348487,147
2019/05/17/23:57:19.365631,147
2019/05/17/23:57:19.382703,147
2019/05/17/23:57:19.400671,146
2019/05/17/23:57:19.417895,147
2019/05/17/23:57:19.435629,148
2019/05/17/23:57:19.453740,147
2019/05/17/23:57:19.471399,147
2019/05/17/23:57:19.489860,147
2019/05/17/23:57:19.506803,147
2019/05/17/23:57:19.523902,146
2019/05/17/23:57:19.540983,147
2019/05/17/23:57:19.558891,147
2019/05/17/23:57:19.578286,146
2019/05/17/23:57:19.595349,146
2019/05/17/23:57:19.612612,145
2019/05/17/23:57:19.631531,145
2019/05/17/23:57:19.648236,145
2019/05/17/23:57:19.665338,146
2019/05/17/23:57:19.684303,145
2019/05/17/23:57:19.701393,145
2019/05/17/23:57:19.718295,146
2019/05/17/23:57:19.736611,145
2019/05/17/23:57:19.753666,147
2019/05/17/23:57:19.770630,147
2019/05/17/23:57:19.788759,147
2019/05/17/23:57:19.807326,149
2019/05/17/23:57:19.825435,149
2019/05/17/23:57:19.842657,150
2019/05/17/23:57:19.859765,150
2019/05/17/23:57:19.876979,150
2019/05/17/23:57:19.894134,151
2019/05/17/23:57:19.912215,150
2019/05/17/23:57:19.930597,150
2019/05/17/23:57:19.948478,149
2019/05/17/23:57:19.966556,149
2019/05/17/23:57:19.983455,148
2019/05/17/23:57:20.000582,148
2019/05/17/23:57:20.018540,148
2019/05/17/23:57:20.035510,147
2019/05/17/23:57:20.053789,147
2019/05/17/23:57:20.070743,147
2019/05/17/23:57:20.090367,147
2019/05/17/23:57:20.108497,146
2019/05/17/23:57:20.125675,147
2019/05/17/23:57:20.142802,149
2019/05/17/23:57:20.160467,148
2019/05/17/23:57:20.179699,148
2019/05/17/23:57:20.196663,151
2019/05/17/23:57:20.213253,151
2019/05/17/23:57:20.231398,154
2019/05/17/23:57:20.249566,153
2019/05/17/23:57:20.266478,152
2019/05/17/23:57:20.285605,155
2019/05/17/23:57:20.301539,154
2019/05/17/23:57:20.319559,157
2019/05/17/23:57:20.337906,156
2019/05/17/23:57:20.354953,155
2019/05/17/23:57:20.371773,157
2019/05/17/23:57:20.391000,156
2019/05/17/23:57:20.409106,155
2019/05/17/23:57:20.426124,154
2019/05/17/23:57:20.443434,154
2019/05/17/23:57:20.462622,153
2019/05/17/23:57:20.479650,153
2019/05/17/23:57:20.498172,152
2019/05/17/23:57:20.515644,151
2019/05/17/23:57:20.533923,153
2019/05/17/23:57:20.550859,152
2019/05/17/23:57:20.568770,151
2019/05/17/23:57:20.586931,151
2019/05/17/23:57:20.605515,150
2019/05/17/23:57:20.622578,150
2019/05/17/23:57:20.640499,149
2019/05/17/23:57:20.659492,149
2019/05/17/23:57:20.677296,149
2019/05/17/23:57:20.694466,148
2019/05/17/23:57:20.711415,148
2019/05/17/23:57:20.730137,148
2019/05/17/23:57:20.747000,147
2019/05/17/23:57:20.766118,147
2019/05/17/23:57:20.783370,147
2019/05/17/23:57:20.802971,146
2019/05/17/23:57:20.818573,146
2019/05/17/23:57:20.836591,146
2019/05/17/23:57:20.854980,146
2019/05/17/23:57:20.873590,146
2019/05/17/23:57:20.891621,148
2019/05/17/23:57:20.908508,147
2019/05/17/23:57:20.927988,147
2019/05/17/23:57:20.944972,147
2019/05/17/23:57:20.962211,149
2019/05/17/23:57:20.979236,149
2019/05/17/23:57:20.997565,150
2019/05/17/23:57:21.014774,153
2019/05/17/23:57:21.031637,152
2019/05/17/23:57:21.049973,156
2019/05/17/23:57:21.067055,155
2019/05/17/23:57:21.084235,154
2019/05/17/23:57:21.103606,157
2019/05/17/23:57:21.120691,156
2019/05/17/23:57:21.140088,158
2019/05/17/23:57:21.158406,157
2019/05/17/23:57:21.171036,156
2019/05/17/23:57:21.189071,156
2019/05/17/23:57:21.207386,155
2019/05/17/23:57:21.224325,154
2019/05/17/23:57:21.241321,154
2019/05/17/23:57:21.258598,153
2019/05/17/23:57:21.277357,152
2019/05/17/23:57:21.295477,152
2019/05/17/23:57:21.312523,151
2019/05/17/23:57:21.330025,152
2019/05/17/23:57:21.346936,151
2019/05/17/23:57:21.363900,151
2019/05/17/23:57:21.380562,150
2019/05/17/23:57:21.398636,151
2019/05/17/23:57:21.416676,151
2019/05/17/23:57:21.434703,153
2019/05/17/23:57:21.451987,152
2019/05/17/23:57:21.469508,151
2019/05/17/23:57:21.486499,151
2019/05/17/23:57:21.504667,153
2019/05/17/23:57:21.521513,154
2019/05/17/23:57:21.539710,153
2019/05/17/23:57:21.558729,152
2019/05/17/23:57:21.575784,151
2019/05/17/23:57:21.592692,152
2019/05/17/23:57:21.610751,151
2019/05/17/23:57:21.626718,152
2019/05/17/23:57:21.644889,152
2019/05/17/23:57:21.662991,151
2019/05/17/23:57:21.681111,150
2019/05/17/23:57:21.695891,151
2019/05/17/23:57:21.714034,151
2019/05/17/23:57:21.731232,150
2019/05/17/23:57:21.749249,149
2019/05/17/23:57:21.767429,149
2019/05/17/23:57:21.786524,151
2019/05/17/23:57:21.803898,150
2019/05/17/23:57:21.822002,152
2019/05/17/23:57:21.839244,152
2019/05/17/23:57:21.858591,151
2019/05/17/23:57:21.875565,154
2019/05/17/23:57:21.892702,153
2019/05/17/23:57:21.909480,153
2019/05/17/23:57:21.927292,152
2019/05/17/23:57:21.940970,152
2019/05/17/23:57:21.957675,152
2019/05/17/23:57:21.975858,152
2019/05/17/23:57:21.992991,150
2019/05/17/23:57:22.012563,149
2019/05/17/23:57:22.030070,148
2019/05/17/23:57:22.048631,148
2019/05/17/23:57:22.065724,148
2019/05/17/23:57:22.084230,148
2019/05/17/23:57:22.102366,148
2019/05/17/23:57:22.120621,149
2019/05/17/23:57:22.138193,148
2019/05/17/23:57:22.155269,148
2019/05/17/23:57:22.172717,150
2019/05/17/23:57:22.190894,149
2019/05/17/23:57:22.210540,152
2019/05/17/23:57:22.226021,151
2019/05/17/23:57:22.243498,151
2019/05/17/23:57:22.260620,153
2019/05/17/23:57:22.278601,152
2019/05/17/23:57:22.295780,152
2019/05/17/23:57:22.313664,151
2019/05/17/23:57:22.331742,150
2019/05/17/23:57:22.348534,152
2019/05/17/23:57:22.366617,151
2019/05/17/23:57:22.383342,150
2019/05/17/23:57:22.400463,150
2019/05/17/23:57:22.418513,150
2019/05/17/23:57:22.436657,149
2019/05/17/23:57:22.453838,149
2019/05/17/23:57:22.469332,148
2019/05/17/23:57:22.487567,148
2019/05/17/23:57:22.504508,147
2019/05/17/23:57:22.522620,147
2019/05/17/23:57:22.538607,146
2019/05/17/23:57:22.555616,146
2019/05/17/23:57:22.572999,146
2019/05/17/23:57:22.590376,146
2019/05/17/23:57:22.607707,147
2019/05/17/23:57:22.625970,147
2019/05/17/23:57:22.643489,148
2019/05/17/23:57:22.660658,148
2019/05/17/23:57:22.678570,150
2019/05/17/23:57:22.693431,150
2019/05/17/23:57:22.710272,149
2019/05/17/23:57:22.727583,149
2019/05/17/23:57:22.744458,150
2019/05/17/23:57:22.761588,150
2019/05/17/23:57:22.779831,149
2019/05/17/23:57:22.797629,149
2019/05/17/23:57:22.815477,149
2019/05/17/23:57:22.831984,149
2019/05/17/23:57:22.849286,150
2019/05/17/23:57:22.868378,149
2019/05/17/23:57:22.885944,149
2019/05/17/23:57:22.903376,149
2019/05/17/23:57:22.922572,147
2019/05/17/23:57:22.940628,148
2019/05/17/23:57:22.959449,148
2019/05/17/23:57:22.976658,147
2019/05/17/23:57:22.994189,150
2019/05/17/23:57:23.011196,149
2019/05/17/23:57:23.030499,153
2019/05/17/23:57:23.047894,152
