time,.data
2019/05/17/23:59:03.688908,130
2019/05/17/23:59:03.705942,129
2019/05/17/23:59:03.723063,129
2019/05/17/23:59:03.740732,129
2019/05/17/23:59:03.760204,130
2019/05/17/23:59:03.778570,132
2019/05/17/23:59:03.796766,131
2019/05/17/23:59:03.814648,132
2019/05/17/23:59:03.832736,131
2019/05/17/23:59:03.849593,131
2019/05/17/23:59:03.867516,131
2019/05/17/23:59:03.884490,130
2019/05/17/23:59:03.902721,130
2019/05/17/23:59:03.919653,130
2019/05/17/23:59:03.939312,129
2019/05/17/23:59:03.955156,129
2019/05/17/23:59:03.973681,129
2019/05/17/23:59:03.990555,129
2019/05/17/23:59:04.008562,129
2019/05/17/23:59:04.026079,130
2019/05/17/23:59:04.043967,129
2019/05/17/23:59:04.060589,129
2019/05/17/23:59:04.078303,130
2019/05/17/23:59:04.095742,130
2019/05/17/23:59:04.114982,132
2019/05/17/23:59:04.132286,131
2019/05/17/23:59:04.150353,131
2019/05/17/23:59:04.169035,132
2019/05/17/23:59:04.186802,132
2019/05/17/23:59:04.204990,132
2019/05/17/23:59:04.222815,132
2019/05/17/23:59:04.239914,131
2019/05/17/23:59:04.257998,131
2019/05/17/23:59:04.276345,130
2019/05/17/23:59:04.293741,130
2019/05/17/23:59:04.311819,129
2019/05/17/23:59:04.329522,129
2019/05/17/23:59:04.346217,129
2019/05/17/23:59:04.363113,129
2019/05/17/23:59:04.382486,128
2019/05/17/23:59:04.399068,128
2019/05/17/23:59:04.417086,129
2019/05/17/23:59:04.434877,129
2019/05/17/23:59:04.453033,129
2019/05/17/23:59:04.469928,128
2019/05/17/23:59:04.487272,128
2019/05/17/23:59:04.506596,128
2019/05/17/23:59:04.523980,128
2019/05/17/23:59:04.542165,128
2019/05/17/23:59:04.560086,127
2019/05/17/23:59:04.577370,127
2019/05/17/23:59:04.594221,127
2019/05/17/23:59:04.612634,127
2019/05/17/23:59:04.630517,127
2019/05/17/23:59:04.650096,127
2019/05/17/23:59:04.665822,126
2019/05/17/23:59:04.683968,126
2019/05/17/23:59:04.698756,126
2019/05/17/23:59:04.716755,126
2019/05/17/23:59:04.735069,126
2019/05/17/23:59:04.753803,127
2019/05/17/23:59:04.771148,127
2019/05/17/23:59:04.788090,126
2019/05/17/23:59:04.806175,128
2019/05/17/23:59:04.823179,128
2019/05/17/23:59:04.840371,129
2019/05/17/23:59:04.858913,129
2019/05/17/23:59:04.877013,128
2019/05/17/23:59:04.893092,131
2019/05/17/23:59:04.909994,131
2019/05/17/23:59:04.929591,130
2019/05/17/23:59:04.947807,130
2019/05/17/23:59:04.964902,130
2019/05/17/23:59:04.982057,132
2019/05/17/23:59:04.999108,131
2019/05/17/23:59:05.018067,130
2019/05/17/23:59:05.034948,130
2019/05/17/23:59:05.053031,129
2019/05/17/23:59:05.069895,129
2019/05/17/23:59:05.087090,130
2019/05/17/23:59:05.105794,130
2019/05/17/23:59:05.123949,130
2019/05/17/23:59:05.140032,130
2019/05/17/23:59:05.157768,129
2019/05/17/23:59:05.175958,129
2019/05/17/23:59:05.193950,129
2019/05/17/23:59:05.211061,128
2019/05/17/23:59:05.228000,128
2019/05/17/23:59:05.248324,128
2019/05/17/23:59:05.265240,128
2019/05/17/23:59:05.282199,128
