time,.data
2019/05/17/23:55:35.489007,208
2019/05/17/23:55:35.506922,207
2019/05/17/23:55:35.525110,207
2019/05/17/23:55:35.542230,205
2019/05/17/23:55:35.560313,204
2019/05/17/23:55:35.574193,204
2019/05/17/23:55:35.592319,201
2019/05/17/23:55:35.610652,201
2019/05/17/23:55:35.628830,197
2019/05/17/23:55:35.646837,198
2019/05/17/23:55:35.664518,199
2019/05/17/23:55:35.681881,198
2019/05/17/23:55:35.699189,198
2019/05/17/23:55:35.716803,197
2019/05/17/23:55:35.733906,197
2019/05/17/23:55:35.751990,198
2019/05/17/23:55:35.768406,199
2019/05/17/23:55:35.786247,199
2019/05/17/23:55:35.804296,199
2019/05/17/23:55:35.821972,200
2019/05/17/23:55:35.840314,201
2019/05/17/23:55:35.857847,201
2019/05/17/23:55:35.875472,201
2019/05/17/23:55:35.893733,202
2019/05/17/23:55:35.908604,204
2019/05/17/23:55:35.926572,204
2019/05/17/23:55:35.943182,204
2019/05/17/23:55:35.961005,204
2019/05/17/23:55:35.977350,204
2019/05/17/23:55:35.994275,204
2019/05/17/23:55:36.012491,204
2019/05/17/23:55:36.030933,203
2019/05/17/23:55:36.047924,203
2019/05/17/23:55:36.064898,204
2019/05/17/23:55:36.082795,204
2019/05/17/23:55:36.100860,204
2019/05/17/23:55:36.117985,205
2019/05/17/23:55:36.136956,205
2019/05/17/23:55:36.153976,205
2019/05/17/23:55:36.171807,205
2019/05/17/23:55:36.188696,206
2019/05/17/23:55:36.207115,206
2019/05/17/23:55:36.224084,205
2019/05/17/23:55:36.241135,205
2019/05/17/23:55:36.258927,205
2019/05/17/23:55:36.276875,205
2019/05/17/23:55:36.294055,205
2019/05/17/23:55:36.311720,204
2019/05/17/23:55:36.328275,204
2019/05/17/23:55:36.345873,205
2019/05/17/23:55:36.364758,204
2019/05/17/23:55:36.381857,204
2019/05/17/23:55:36.398832,201
2019/05/17/23:55:36.417196,201
2019/05/17/23:55:36.435246,202
2019/05/17/23:55:36.452036,200
2019/05/17/23:55:36.470055,200
2019/05/17/23:55:36.488953,198
2019/05/17/23:55:36.507065,198
2019/05/17/23:55:36.523921,199
2019/05/17/23:55:36.543301,200
2019/05/17/23:55:36.560395,200
2019/05/17/23:55:36.577228,200
2019/05/17/23:55:36.595041,201
2019/05/17/23:55:36.611914,203
2019/05/17/23:55:36.629877,203
2019/05/17/23:55:36.648122,203
2019/05/17/23:55:36.667110,202
2019/05/17/23:55:36.685950,203
2019/05/17/23:55:36.703898,202
2019/05/17/23:55:36.721729,202
2019/05/17/23:55:36.738956,204
2019/05/17/23:55:36.756995,202
2019/05/17/23:55:36.774193,201
2019/05/17/23:55:36.793359,199
2019/05/17/23:55:36.810377,199
2019/05/17/23:55:36.827437,199
2019/05/17/23:55:36.845327,197
2019/05/17/23:55:36.862408,197
2019/05/17/23:55:36.880360,196
2019/05/17/23:55:36.898045,196
2019/05/17/23:55:36.915909,196
2019/05/17/23:55:36.934126,195
2019/05/17/23:55:36.950828,195
2019/05/17/23:55:36.968089,195
2019/05/17/23:55:36.986326,196
2019/05/17/23:55:37.003401,198
2019/05/17/23:55:37.021373,198
2019/05/17/23:55:37.039716,198
2019/05/17/23:55:37.057497,198
2019/05/17/23:55:37.074383,199
2019/05/17/23:55:37.091275,198
2019/05/17/23:55:37.108226,199
2019/05/17/23:55:37.125345,200
2019/05/17/23:55:37.144488,200
2019/05/17/23:55:37.162291,200
2019/05/17/23:55:37.181270,201
2019/05/17/23:55:37.198208,202
2019/05/17/23:55:37.216261,201
2019/05/17/23:55:37.235498,202
2019/05/17/23:55:37.254011,202
2019/05/17/23:55:37.271509,204
2019/05/17/23:55:37.290815,203
2019/05/17/23:55:37.307766,203
2019/05/17/23:55:37.325608,204
2019/05/17/23:55:37.343849,204
2019/05/17/23:55:37.360874,204
2019/05/17/23:55:37.378996,205
2019/05/17/23:55:37.396989,206
2019/05/17/23:55:37.415343,206
2019/05/17/23:55:37.432868,206
2019/05/17/23:55:37.450526,205
2019/05/17/23:55:37.468729,205
2019/05/17/23:55:37.485930,204
2019/05/17/23:55:37.503720,205
2019/05/17/23:55:37.522008,203
2019/05/17/23:55:37.539084,204
2019/05/17/23:55:37.556134,206
2019/05/17/23:55:37.574968,204
2019/05/17/23:55:37.594007,204
2019/05/17/23:55:37.611179,201
2019/05/17/23:55:37.625770,201
2019/05/17/23:55:37.643977,203
2019/05/17/23:55:37.660947,199
2019/05/17/23:55:37.677923,200
2019/05/17/23:55:37.695255,197
2019/05/17/23:55:37.712230,197
2019/05/17/23:55:37.729970,198
2019/05/17/23:55:37.747974,196
2019/05/17/23:55:37.766263,197
2019/05/17/23:55:37.783396,197
2019/05/17/23:55:37.800441,198
2019/05/17/23:55:37.817767,198
2019/05/17/23:55:37.836760,199
2019/05/17/23:55:37.853925,201
2019/05/17/23:55:37.870959,201
2019/05/17/23:55:37.888332,202
2019/05/17/23:55:37.907797,202
2019/05/17/23:55:37.925869,202
2019/05/17/23:55:37.942853,202
2019/05/17/23:55:37.961935,203
2019/05/17/23:55:37.979154,203
2019/05/17/23:55:37.996194,203
2019/05/17/23:55:38.015868,204
2019/05/17/23:55:38.032857,204
2019/05/17/23:55:38.051054,204
2019/05/17/23:55:38.067588,206
2019/05/17/23:55:38.084797,206
2019/05/17/23:55:38.102937,206
2019/05/17/23:55:38.119665,206
2019/05/17/23:55:38.136729,206
2019/05/17/23:55:38.154884,206
2019/05/17/23:55:38.172992,206
2019/05/17/23:55:38.189941,206
