time,.data
2019/05/17/23:56:16.648510,170
2019/05/17/23:56:16.664541,170
2019/05/17/23:56:16.682923,170
2019/05/17/23:56:16.699789,170
2019/05/17/23:56:16.716944,170
2019/05/17/23:56:16.734172,169
2019/05/17/23:56:16.751099,169
2019/05/17/23:56:16.770098,168
2019/05/17/23:56:16.787658,168
2019/05/17/23:56:16.804894,168
2019/05/17/23:56:16.823244,167
2019/05/17/23:56:16.841252,167
2019/05/17/23:56:16.858503,167
2019/05/17/23:56:16.875551,167
2019/05/17/23:56:16.894375,167
2019/05/17/23:56:16.911205,166
2019/05/17/23:56:16.929349,167
2019/05/17/23:56:16.945337,167
2019/05/17/23:56:16.962157,166
2019/05/17/23:56:16.979582,168
2019/05/17/23:56:16.998743,168
2019/05/17/23:56:17.016041,170
2019/05/17/23:56:17.033052,170
2019/05/17/23:56:17.050379,170
2019/05/17/23:56:17.067101,172
2019/05/17/23:56:17.084551,172
2019/05/17/23:56:17.102429,172
2019/05/17/23:56:17.121179,171
2019/05/17/23:56:17.140012,171
2019/05/17/23:56:17.156518,174
2019/05/17/23:56:17.175436,173
2019/05/17/23:56:17.194282,173
2019/05/17/23:56:17.211450,173
2019/05/17/23:56:17.230627,172
2019/05/17/23:56:17.248834,171
2019/05/17/23:56:17.261630,171
2019/05/17/23:56:17.279621,170
2019/05/17/23:56:17.296553,170
2019/05/17/23:56:17.315058,169
2019/05/17/23:56:17.332342,168
2019/05/17/23:56:17.349113,168
2019/05/17/23:56:17.367477,169
2019/05/17/23:56:17.384222,169
2019/05/17/23:56:17.401414,169
2019/05/17/23:56:17.418455,169
2019/05/17/23:56:17.436470,168
2019/05/17/23:56:17.452502,171
2019/05/17/23:56:17.469426,171
2019/05/17/23:56:17.488900,174
2019/05/17/23:56:17.509162,173
2019/05/17/23:56:17.528348,173
2019/05/17/23:56:17.544147,175
2019/05/17/23:56:17.562310,173
2019/05/17/23:56:17.578371,172
2019/05/17/23:56:17.597238,172
2019/05/17/23:56:17.615334,171
2019/05/17/23:56:17.632297,172
2019/05/17/23:56:17.651437,171
2019/05/17/23:56:17.668350,171
2019/05/17/23:56:17.686558,170
2019/05/17/23:56:17.705794,170
2019/05/17/23:56:17.722671,171
2019/05/17/23:56:17.740360,171
2019/05/17/23:56:17.758467,170
2019/05/17/23:56:17.775654,170
2019/05/17/23:56:17.793522,170
2019/05/17/23:56:17.810367,170
2019/05/17/23:56:17.829132,170
2019/05/17/23:56:17.845933,171
2019/05/17/23:56:17.859717,172
2019/05/17/23:56:17.877408,171
2019/05/17/23:56:17.895808,169
2019/05/17/23:56:17.912392,170
2019/05/17/23:56:17.931798,172
2019/05/17/23:56:17.948816,172
2019/05/17/23:56:17.961723,171
2019/05/17/23:56:17.979801,171
2019/05/17/23:56:17.996824,170
2019/05/17/23:56:18.014996,170
2019/05/17/23:56:18.032400,169
2019/05/17/23:56:18.051351,168
2019/05/17/23:56:18.069041,168
2019/05/17/23:56:18.086148,169
2019/05/17/23:56:18.103131,169
2019/05/17/23:56:18.121347,168
2019/05/17/23:56:18.138559,168
2019/05/17/23:56:18.157264,169
2019/05/17/23:56:18.174242,169
2019/05/17/23:56:18.191735,168
2019/05/17/23:56:18.210252,168
2019/05/17/23:56:18.227899,170
2019/05/17/23:56:18.244827,170
2019/05/17/23:56:18.262117,170
2019/05/17/23:56:18.281019,174
2019/05/17/23:56:18.298069,173
2019/05/17/23:56:18.317114,177
2019/05/17/23:56:18.335884,178
2019/05/17/23:56:18.352290,177
2019/05/17/23:56:18.369508,181
2019/05/17/23:56:18.386546,180
2019/05/17/23:56:18.405973,182
2019/05/17/23:56:18.424145,181
2019/05/17/23:56:18.442373,179
2019/05/17/23:56:18.459222,179
2019/05/17/23:56:18.477450,178
2019/05/17/23:56:18.493583,177
2019/05/17/23:56:18.511114,176
2019/05/17/23:56:18.530432,176
2019/05/17/23:56:18.547298,175
2019/05/17/23:56:18.565288,174
2019/05/17/23:56:18.582294,173
2019/05/17/23:56:18.600253,173
2019/05/17/23:56:18.617356,172
2019/05/17/23:56:18.634556,171
2019/05/17/23:56:18.650685,171
2019/05/17/23:56:18.669153,171
2019/05/17/23:56:18.688313,170
2019/05/17/23:56:18.702208,170
2019/05/17/23:56:18.720284,169
2019/05/17/23:56:18.738380,169
2019/05/17/23:56:18.756592,169
2019/05/17/23:56:18.774907,168
2019/05/17/23:56:18.792332,168
2019/05/17/23:56:18.810824,168
2019/05/17/23:56:18.827404,167
2019/05/17/23:56:18.845709,168
2019/05/17/23:56:18.863906,168
2019/05/17/23:56:18.883259,168
2019/05/17/23:56:18.900293,167
2019/05/17/23:56:18.918427,167
2019/05/17/23:56:18.936916,167
2019/05/17/23:56:18.956241,168
2019/05/17/23:56:18.973524,167
2019/05/17/23:56:18.990022,167
2019/05/17/23:56:19.003752,169
2019/05/17/23:56:19.022021,169
2019/05/17/23:56:19.040148,169
2019/05/17/23:56:19.057598,169
2019/05/17/23:56:19.074082,168
2019/05/17/23:56:19.092649,173
2019/05/17/23:56:19.110209,173
2019/05/17/23:56:19.129092,172
2019/05/17/23:56:19.145737,172
2019/05/17/23:56:19.159150,171
2019/05/17/23:56:19.177346,173
2019/05/17/23:56:19.195014,173
2019/05/17/23:56:19.211997,172
2019/05/17/23:56:19.228902,175
2019/05/17/23:56:19.247356,176
2019/05/17/23:56:19.264420,175
2019/05/17/23:56:19.281702,174
2019/05/17/23:56:19.298927,174
2019/05/17/23:56:19.315908,173
2019/05/17/23:56:19.333198,173
2019/05/17/23:56:19.351210,172
2019/05/17/23:56:19.368301,171
2019/05/17/23:56:19.386322,172
2019/05/17/23:56:19.404608,171
2019/05/17/23:56:19.422953,171
2019/05/17/23:56:19.441232,172
2019/05/17/23:56:19.458559,173
2019/05/17/23:56:19.477410,175
2019/05/17/23:56:19.494832,175
2019/05/17/23:56:19.512196,175
2019/05/17/23:56:19.529222,178
2019/05/17/23:56:19.547484,178
2019/05/17/23:56:19.564570,179
2019/05/17/23:56:19.583868,178
2019/05/17/23:56:19.602043,175
2019/05/17/23:56:19.619180,175
2019/05/17/23:56:19.637405,175
2019/05/17/23:56:19.654624,174
2019/05/17/23:56:19.673149,174
2019/05/17/23:56:19.690278,173
2019/05/17/23:56:19.707235,173
2019/05/17/23:56:19.725610,172
2019/05/17/23:56:19.743700,171
2019/05/17/23:56:19.762377,171
2019/05/17/23:56:19.778556,171
2019/05/17/23:56:19.796525,171
2019/05/17/23:56:19.813409,171
2019/05/17/23:56:19.830323,170
2019/05/17/23:56:19.849277,170
2019/05/17/23:56:19.866070,171
2019/05/17/23:56:19.885153,171
2019/05/17/23:56:19.903285,172
2019/05/17/23:56:19.921000,171
2019/05/17/23:56:19.939180,171
2019/05/17/23:56:19.957344,171
2019/05/17/23:56:19.974292,171
2019/05/17/23:56:19.992422,170
2019/05/17/23:56:20.009694,170
2019/05/17/23:56:20.027244,170
2019/05/17/23:56:20.044428,169
2019/05/17/23:56:20.061491,169
2019/05/17/23:56:20.078589,169
2019/05/17/23:56:20.096772,168
2019/05/17/23:56:20.114405,168
2019/05/17/23:56:20.133893,168
2019/05/17/23:56:20.150821,167
2019/05/17/23:56:20.168531,167
2019/05/17/23:56:20.183412,167
2019/05/17/23:56:20.202290,168
2019/05/17/23:56:20.219297,168
2019/05/17/23:56:20.237216,168
2019/05/17/23:56:20.254494,170
2019/05/17/23:56:20.272350,171
2019/05/17/23:56:20.292241,175
2019/05/17/23:56:20.310261,175
2019/05/17/23:56:20.328311,174
2019/05/17/23:56:20.346137,178
2019/05/17/23:56:20.363246,178
2019/05/17/23:56:20.380383,181
2019/05/17/23:56:20.398357,179
2019/05/17/23:56:20.416768,179
2019/05/17/23:56:20.435143,179
2019/05/17/23:56:20.452470,178
2019/05/17/23:56:20.469274,178
2019/05/17/23:56:20.486303,177
2019/05/17/23:56:20.503169,176
2019/05/17/23:56:20.521330,175
2019/05/17/23:56:20.538831,175
2019/05/17/23:56:20.557347,174
2019/05/17/23:56:20.575764,174
2019/05/17/23:56:20.593878,173
2019/05/17/23:56:20.612141,173
2019/05/17/23:56:20.630187,172
2019/05/17/23:56:20.648552,172
2019/05/17/23:56:20.666472,172
2019/05/17/23:56:20.683424,172
2019/05/17/23:56:20.701328,171
2019/05/17/23:56:20.718417,171
2019/05/17/23:56:20.735763,170
2019/05/17/23:56:20.753779,169
2019/05/17/23:56:20.772033,169
2019/05/17/23:56:20.790106,167
2019/05/17/23:56:20.808379,167
2019/05/17/23:56:20.826005,167
2019/05/17/23:56:20.843896,166
2019/05/17/23:56:20.862183,166
2019/05/17/23:56:20.881148,166
2019/05/17/23:56:20.899384,166
2019/05/17/23:56:20.916410,166
2019/05/17/23:56:20.934524,166
2019/05/17/23:56:20.952756,166
2019/05/17/23:56:20.971162,166
2019/05/17/23:56:20.989130,166
2019/05/17/23:56:21.006557,165
2019/05/17/23:56:21.023300,167
2019/05/17/23:56:21.040545,166
2019/05/17/23:56:21.057779,167
2019/05/17/23:56:21.076048,171
2019/05/17/23:56:21.094473,171
2019/05/17/23:56:21.112228,174
2019/05/17/23:56:21.130520,174
2019/05/17/23:56:21.148093,175
2019/05/17/23:56:21.166986,178
2019/05/17/23:56:21.183493,177
2019/05/17/23:56:21.202403,179
2019/05/17/23:56:21.221291,178
2019/05/17/23:56:21.239206,177
2019/05/17/23:56:21.256419,179
2019/05/17/23:56:21.274661,178
2019/05/17/23:56:21.291753,177
2019/05/17/23:56:21.309778,176
2019/05/17/23:56:21.327193,177
2019/05/17/23:56:21.344741,176
2019/05/17/23:56:21.361650,175
2019/05/17/23:56:21.379070,175
2019/05/17/23:56:21.397385,174
2019/05/17/23:56:21.414789,173
2019/05/17/23:56:21.431620,174
2019/05/17/23:56:21.450520,173
2019/05/17/23:56:21.468473,173
2019/05/17/23:56:21.486701,172
2019/05/17/23:56:21.504777,174
2019/05/17/23:56:21.523035,173
2019/05/17/23:56:21.540282,172
2019/05/17/23:56:21.558355,171
2019/05/17/23:56:21.574645,171
2019/05/17/23:56:21.593881,172
2019/05/17/23:56:21.611316,171
2019/05/17/23:56:21.628370,171
2019/05/17/23:56:21.647419,170
2019/05/17/23:56:21.664473,170
2019/05/17/23:56:21.681528,170
2019/05/17/23:56:21.700943,168
2019/05/17/23:56:21.719263,167
2019/05/17/23:56:21.736490,167
2019/05/17/23:56:21.754430,167
2019/05/17/23:56:21.771410,166
2019/05/17/23:56:21.785976,166
2019/05/17/23:56:21.802836,166
2019/05/17/23:56:21.819954,167
2019/05/17/23:56:21.837320,167
2019/05/17/23:56:21.854518,167
2019/05/17/23:56:21.872063,166
2019/05/17/23:56:21.889571,168
2019/05/17/23:56:21.908708,168
2019/05/17/23:56:21.926715,168
2019/05/17/23:56:21.944308,167
2019/05/17/23:56:21.961202,167
2019/05/17/23:56:21.978442,169
2019/05/17/23:56:21.997190,169
2019/05/17/23:56:22.014347,169
2019/05/17/23:56:22.032104,170
2019/05/17/23:56:22.049153,170
2019/05/17/23:56:22.066043,170
2019/05/17/23:56:22.084014,169
2019/05/17/23:56:22.101367,169
2019/05/17/23:56:22.118234,169
2019/05/17/23:56:22.136620,169
2019/05/17/23:56:22.155411,169
2019/05/17/23:56:22.173786,169
2019/05/17/23:56:22.191724,169
2019/05/17/23:56:22.209273,169
2019/05/17/23:56:22.227251,171
2019/05/17/23:56:22.244285,170
2019/05/17/23:56:22.262390,170
2019/05/17/23:56:22.281727,172
2019/05/17/23:56:22.299086,172
2019/05/17/23:56:22.317049,175
2019/05/17/23:56:22.335362,174
2019/05/17/23:56:22.354201,174
2019/05/17/23:56:22.371640,176
2019/05/17/23:56:22.390147,175
2019/05/17/23:56:22.408370,177
2019/05/17/23:56:22.426480,176
2019/05/17/23:56:22.444777,176
2019/05/17/23:56:22.462799,177
2019/05/17/23:56:22.479883,176
2019/05/17/23:56:22.499313,176
2019/05/17/23:56:22.518568,175
2019/05/17/23:56:22.535806,175
2019/05/17/23:56:22.552733,174
2019/05/17/23:56:22.570007,173
2019/05/17/23:56:22.586951,173
2019/05/17/23:56:22.605340,172
2019/05/17/23:56:22.622247,171
2019/05/17/23:56:22.640631,171
2019/05/17/23:56:22.657825,171
2019/05/17/23:56:22.674861,171
2019/05/17/23:56:22.692184,170
2019/05/17/23:56:22.711052,171
2019/05/17/23:56:22.728149,171
2019/05/17/23:56:22.746089,170
2019/05/17/23:56:22.763238,170
2019/05/17/23:56:22.780288,170
2019/05/17/23:56:22.798535,170
2019/05/17/23:56:22.816542,170
2019/05/17/23:56:22.833465,169
2019/05/17/23:56:22.851365,169
2019/05/17/23:56:22.867423,168
2019/05/17/23:56:22.886376,169
2019/05/17/23:56:22.903501,170
2019/05/17/23:56:22.921412,169
2019/05/17/23:56:22.938558,169
2019/05/17/23:56:22.955460,168
2019/05/17/23:56:22.975521,168
2019/05/17/23:56:22.992502,168
2019/05/17/23:56:23.010604,169
2019/05/17/23:56:23.028274,170
