time,.data
2019/05/17/23:57:17.743343,157
2019/05/17/23:57:17.762313,158
2019/05/17/23:57:17.779397,157
2019/05/17/23:57:17.796375,158
2019/05/17/23:57:17.813378,157
2019/05/17/23:57:17.830113,157
2019/05/17/23:57:17.847322,158
2019/05/17/23:57:17.864206,158
2019/05/17/23:57:17.883214,158
2019/05/17/23:57:17.900318,159
2019/05/17/23:57:17.918557,159
2019/05/17/23:57:17.937006,159
2019/05/17/23:57:17.953860,159
2019/05/17/23:57:17.971146,160
2019/05/17/23:57:17.989944,159
2019/05/17/23:57:18.007281,159
2019/05/17/23:57:18.024325,161
2019/05/17/23:57:18.042413,161
2019/05/17/23:57:18.059286,161
2019/05/17/23:57:18.077986,162
2019/05/17/23:57:18.096224,162
2019/05/17/23:57:18.115070,162
2019/05/17/23:57:18.132218,162
2019/05/17/23:57:18.149167,162
2019/05/17/23:57:18.167143,158
2019/05/17/23:57:18.184287,158
2019/05/17/23:57:18.203358,159
2019/05/17/23:57:18.220418,159
2019/05/17/23:57:18.240707,159
2019/05/17/23:57:18.258905,156
2019/05/17/23:57:18.276616,157
2019/05/17/23:57:18.293661,154
2019/05/17/23:57:18.312157,155
2019/05/17/23:57:18.328798,157
2019/05/17/23:57:18.345783,156
2019/05/17/23:57:18.366212,157
2019/05/17/23:57:18.382332,156
2019/05/17/23:57:18.399681,156
2019/05/17/23:57:18.416931,156
2019/05/17/23:57:18.435399,156
2019/05/17/23:57:18.452476,157
2019/05/17/23:57:18.469613,157
2019/05/17/23:57:18.487962,157
2019/05/17/23:57:18.501326,157
2019/05/17/23:57:18.518295,157
2019/05/17/23:57:18.536700,158
2019/05/17/23:57:18.555057,158
2019/05/17/23:57:18.571929,158
2019/05/17/23:57:18.591263,158
2019/05/17/23:57:18.609418,157
2019/05/17/23:57:18.626389,158
2019/05/17/23:57:18.644467,157
2019/05/17/23:57:18.661340,158
2019/05/17/23:57:18.678359,158
2019/05/17/23:57:18.696633,158
2019/05/17/23:57:18.712460,158
2019/05/17/23:57:18.730099,158
2019/05/17/23:57:18.748214,158
2019/05/17/23:57:18.766221,158
2019/05/17/23:57:18.783232,159
2019/05/17/23:57:18.801342,159
2019/05/17/23:57:18.819554,159
2019/05/17/23:57:18.837561,159
2019/05/17/23:57:18.851368,159
2019/05/17/23:57:18.868271,159
2019/05/17/23:57:18.888466,159
2019/05/17/23:57:18.905490,159
2019/05/17/23:57:18.922732,159
2019/05/17/23:57:18.939770,157
2019/05/17/23:57:18.956846,158
2019/05/17/23:57:18.974450,158
2019/05/17/23:57:18.992475,158
2019/05/17/23:57:19.010342,158
2019/05/17/23:57:19.028412,155
2019/05/17/23:57:19.045337,156
2019/05/17/23:57:19.063729,154
2019/05/17/23:57:19.082907,154
2019/05/17/23:57:19.099932,154
2019/05/17/23:57:19.118014,153
2019/05/17/23:57:19.135365,153
2019/05/17/23:57:19.154311,152
2019/05/17/23:57:19.171346,153
2019/05/17/23:57:19.188892,153
2019/05/17/23:57:19.208193,155
2019/05/17/23:57:19.225207,155
2019/05/17/23:57:19.243416,156
2019/05/17/23:57:19.260278,156
2019/05/17/23:57:19.277292,157
2019/05/17/23:57:19.295258,157
2019/05/17/23:57:19.312509,158
2019/05/17/23:57:19.330240,158
2019/05/17/23:57:19.347311,158
2019/05/17/23:57:19.364446,159
2019/05/17/23:57:19.381408,157
2019/05/17/23:57:19.399387,157
2019/05/17/23:57:19.416725,156
2019/05/17/23:57:19.434421,156
2019/05/17/23:57:19.452435,156
2019/05/17/23:57:19.470258,154
2019/05/17/23:57:19.488629,155
2019/05/17/23:57:19.505563,154
2019/05/17/23:57:19.522693,155
2019/05/17/23:57:19.539845,155
2019/05/17/23:57:19.557696,154
2019/05/17/23:57:19.576981,154
2019/05/17/23:57:19.594187,154
2019/05/17/23:57:19.611281,153
2019/05/17/23:57:19.630255,153
2019/05/17/23:57:19.646948,154
2019/05/17/23:57:19.664017,154
2019/05/17/23:57:19.683139,154
2019/05/17/23:57:19.700163,154
2019/05/17/23:57:19.717210,155
2019/05/17/23:57:19.735266,156
2019/05/17/23:57:19.752310,156
2019/05/17/23:57:19.769377,156
2019/05/17/23:57:19.787564,156
2019/05/17/23:57:19.805924,155
2019/05/17/23:57:19.824230,155
2019/05/17/23:57:19.841309,155
2019/05/17/23:57:19.858648,156
2019/05/17/23:57:19.875670,155
2019/05/17/23:57:19.892912,155
2019/05/17/23:57:19.911030,155
2019/05/17/23:57:19.929330,156
2019/05/17/23:57:19.947390,156
2019/05/17/23:57:19.965293,157
2019/05/17/23:57:19.982185,157
2019/05/17/23:57:19.999528,157
2019/05/17/23:57:20.017428,157
2019/05/17/23:57:20.034262,157
2019/05/17/23:57:20.052514,157
2019/05/17/23:57:20.069531,157
2019/05/17/23:57:20.088994,157
2019/05/17/23:57:20.107330,157
2019/05/17/23:57:20.124497,157
2019/05/17/23:57:20.141601,157
2019/05/17/23:57:20.159392,157
2019/05/17/23:57:20.178496,158
2019/05/17/23:57:20.195531,157
2019/05/17/23:57:20.211995,158
2019/05/17/23:57:20.230147,156
2019/05/17/23:57:20.248336,156
2019/05/17/23:57:20.265284,156
2019/05/17/23:57:20.284381,153
2019/05/17/23:57:20.300353,154
2019/05/17/23:57:20.318442,150
2019/05/17/23:57:20.336639,151
2019/05/17/23:57:20.353512,151
2019/05/17/23:57:20.370511,149
2019/05/17/23:57:20.389811,149
2019/05/17/23:57:20.407879,148
2019/05/17/23:57:20.424956,149
2019/05/17/23:57:20.442260,149
2019/05/17/23:57:20.461448,149
2019/05/17/23:57:20.478389,150
2019/05/17/23:57:20.496734,151
2019/05/17/23:57:20.514501,151
2019/05/17/23:57:20.532667,152
2019/05/17/23:57:20.549701,153
2019/05/17/23:57:20.567498,153
2019/05/17/23:57:20.585727,154
2019/05/17/23:57:20.604292,154
2019/05/17/23:57:20.621301,154
2019/05/17/23:57:20.639266,156
2019/05/17/23:57:20.658314,156
2019/05/17/23:57:20.675981,157
2019/05/17/23:57:20.693239,157
2019/05/17/23:57:20.710279,157
2019/05/17/23:57:20.728852,157
2019/05/17/23:57:20.745879,158
2019/05/17/23:57:20.764792,158
2019/05/17/23:57:20.782197,158
2019/05/17/23:57:20.801584,158
2019/05/17/23:57:20.817360,158
2019/05/17/23:57:20.835522,160
2019/05/17/23:57:20.853709,160
2019/05/17/23:57:20.872309,159
2019/05/17/23:57:20.890364,160
2019/05/17/23:57:20.907423,160
2019/05/17/23:57:20.926681,161
2019/05/17/23:57:20.943797,161
2019/05/17/23:57:20.960855,160
2019/05/17/23:57:20.978124,160
2019/05/17/23:57:20.996398,160
2019/05/17/23:57:21.013569,158
2019/05/17/23:57:21.030428,159
2019/05/17/23:57:21.048682,157
2019/05/17/23:57:21.065861,157
2019/05/17/23:57:21.083025,156
2019/05/17/23:57:21.102425,153
2019/05/17/23:57:21.119592,153
2019/05/17/23:57:21.138941,151
2019/05/17/23:57:21.157188,151
2019/05/17/23:57:21.169936,152
2019/05/17/23:57:21.187816,149
2019/05/17/23:57:21.206237,150
2019/05/17/23:57:21.223176,150
2019/05/17/23:57:21.240078,151
2019/05/17/23:57:21.257473,151
2019/05/17/23:57:21.276098,152
2019/05/17/23:57:21.294261,152
2019/05/17/23:57:21.311241,153
2019/05/17/23:57:21.328685,153
2019/05/17/23:57:21.345823,154
2019/05/17/23:57:21.362681,154
2019/05/17/23:57:21.379342,155
2019/05/17/23:57:21.397384,154
2019/05/17/23:57:21.415481,155
2019/05/17/23:57:21.433371,155
2019/05/17/23:57:21.450592,154
2019/05/17/23:57:21.468300,155
2019/05/17/23:57:21.485340,153
2019/05/17/23:57:21.503493,154
2019/05/17/23:57:21.520340,153
2019/05/17/23:57:21.538470,152
2019/05/17/23:57:21.557549,152
2019/05/17/23:57:21.574475,152
2019/05/17/23:57:21.591474,152
2019/05/17/23:57:21.609503,153
2019/05/17/23:57:21.625495,153
2019/05/17/23:57:21.643392,153
2019/05/17/23:57:21.661831,153
2019/05/17/23:57:21.679963,154
2019/05/17/23:57:21.694706,154
2019/05/17/23:57:21.712811,154
2019/05/17/23:57:21.730085,154
2019/05/17/23:57:21.748083,154
2019/05/17/23:57:21.766252,155
2019/05/17/23:57:21.785265,154
2019/05/17/23:57:21.802557,153
2019/05/17/23:57:21.820842,153
2019/05/17/23:57:21.837974,153
2019/05/17/23:57:21.857501,154
2019/05/17/23:57:21.874224,154
2019/05/17/23:57:21.891432,154
2019/05/17/23:57:21.908236,153
2019/05/17/23:57:21.926052,153
2019/05/17/23:57:21.939746,154
2019/05/17/23:57:21.956495,154
2019/05/17/23:57:21.974674,156
2019/05/17/23:57:21.991703,156
2019/05/17/23:57:22.011330,156
2019/05/17/23:57:22.028941,156
2019/05/17/23:57:22.047151,157
2019/05/17/23:57:22.064609,157
2019/05/17/23:57:22.082736,157
2019/05/17/23:57:22.101121,157
2019/05/17/23:57:22.119476,158
2019/05/17/23:57:22.136877,158
2019/05/17/23:57:22.153934,158
2019/05/17/23:57:22.171511,158
2019/05/17/23:57:22.189582,159
2019/05/17/23:57:22.209298,159
2019/05/17/23:57:22.224864,157
2019/05/17/23:57:22.242310,157
2019/05/17/23:57:22.259430,155
2019/05/17/23:57:22.277286,156
2019/05/17/23:57:22.294618,158
