time,.data
2019/05/17/23:52:52.575825,749
2019/05/17/23:52:52.592846,751
2019/05/17/23:52:52.611202,751
2019/05/17/23:52:52.628276,750
2019/05/17/23:52:52.646477,751
2019/05/17/23:52:52.664735,751
2019/05/17/23:52:52.684010,752
2019/05/17/23:52:52.701144,752
2019/05/17/23:52:52.718175,751
2019/05/17/23:52:52.735622,751
2019/05/17/23:52:52.751358,753
2019/05/17/23:52:52.768666,752
2019/05/17/23:52:52.787298,752
2019/05/17/23:52:52.805412,752
2019/05/17/23:52:52.823705,751
2019/05/17/23:52:52.841871,751
2019/05/17/23:52:52.859358,751
2019/05/17/23:52:52.877537,750
2019/05/17/23:52:52.894681,750
2019/05/17/23:52:52.912377,750
2019/05/17/23:52:52.930438,749
2019/05/17/23:52:52.948168,749
2019/05/17/23:52:52.966356,749
2019/05/17/23:52:52.984559,749
2019/05/17/23:52:53.002206,749
2019/05/17/23:52:53.019249,748
2019/05/17/23:52:53.038438,749
2019/05/17/23:52:53.055156,749
2019/05/17/23:52:53.072082,748
2019/05/17/23:52:53.089141,748
2019/05/17/23:52:53.105710,748
2019/05/17/23:52:53.124408,748
2019/05/17/23:52:53.141594,747
2019/05/17/23:52:53.161410,747
2019/05/17/23:52:53.177490,747
2019/05/17/23:52:53.195125,747
2019/05/17/23:52:53.212579,747
2019/05/17/23:52:53.230338,747
2019/05/17/23:52:53.248500,747
2019/05/17/23:52:53.265234,747
2019/05/17/23:52:53.284369,749
2019/05/17/23:52:53.302405,751
2019/05/17/23:52:53.320640,752
2019/05/17/23:52:53.337785,752
2019/05/17/23:52:53.355779,753
2019/05/17/23:52:53.373019,753
2019/05/17/23:52:53.389915,753
2019/05/17/23:52:53.409259,752
2019/05/17/23:52:53.426151,752
2019/05/17/23:52:53.444395,752
2019/05/17/23:52:53.460365,751
2019/05/17/23:52:53.478578,751
2019/05/17/23:52:53.495677,750
2019/05/17/23:52:53.512647,752
2019/05/17/23:52:53.530781,752
2019/05/17/23:52:53.548887,751
2019/05/17/23:52:53.565571,751
2019/05/17/23:52:53.582593,751
2019/05/17/23:52:53.599443,750
2019/05/17/23:52:53.617480,750
2019/05/17/23:52:53.635173,752
2019/05/17/23:52:53.647942,753
2019/05/17/23:52:53.666069,752
2019/05/17/23:52:53.683033,752
2019/05/17/23:52:53.701230,751
2019/05/17/23:52:53.713728,751
2019/05/17/23:52:53.732121,751
2019/05/17/23:52:53.749354,752
2019/05/17/23:52:53.766436,753
2019/05/17/23:52:53.780114,753
2019/05/17/23:52:53.799560,753
2019/05/17/23:52:53.816868,752
2019/05/17/23:52:53.833827,752
2019/05/17/23:52:53.852156,752
2019/05/17/23:52:53.870377,753
2019/05/17/23:52:53.887570,752
2019/05/17/23:52:53.906276,752
2019/05/17/23:52:53.923138,752
2019/05/17/23:52:53.940411,754
2019/05/17/23:52:53.958499,753
2019/05/17/23:52:53.975607,752
2019/05/17/23:52:53.993629,752
2019/05/17/23:52:54.011612,752
2019/05/17/23:52:54.030240,751
2019/05/17/23:52:54.046576,752
2019/05/17/23:52:54.066048,753
2019/05/17/23:52:54.082666,753
2019/05/17/23:52:54.100876,753
2019/05/17/23:52:54.120141,754
2019/05/17/23:52:54.137483,753
2019/05/17/23:52:54.154281,753
2019/05/17/23:52:54.171440,755
2019/05/17/23:52:54.189463,754
2019/05/17/23:52:54.207459,754
2019/05/17/23:52:54.225313,753
2019/05/17/23:52:54.242952,755
2019/05/17/23:52:54.260583,754
2019/05/17/23:52:54.277595,754
2019/05/17/23:52:54.294783,753
2019/05/17/23:52:54.314585,753
2019/05/17/23:52:54.332661,752
2019/05/17/23:52:54.350693,752
2019/05/17/23:52:54.368910,751
2019/05/17/23:52:54.387058,751
2019/05/17/23:52:54.404113,752
2019/05/17/23:52:54.421145,752
2019/05/17/23:52:54.438283,751
2019/05/17/23:52:54.456828,751
2019/05/17/23:52:54.475065,751
2019/05/17/23:52:54.493270,753
2019/05/17/23:52:54.511175,753
2019/05/17/23:52:54.528761,752
2019/05/17/23:52:54.546574,752
2019/05/17/23:52:54.564283,752
2019/05/17/23:52:54.581310,751
2019/05/17/23:52:54.599356,751
2019/05/17/23:52:54.616456,751
2019/05/17/23:52:54.634827,750
2019/05/17/23:52:54.653490,750
2019/05/17/23:52:54.669358,750
2019/05/17/23:52:54.687666,752
2019/05/17/23:52:54.705336,751
2019/05/17/23:52:54.723284,751
2019/05/17/23:52:54.741302,751
2019/05/17/23:52:54.758498,752
2019/05/17/23:52:54.776370,752
2019/05/17/23:52:54.794545,751
2019/05/17/23:52:54.811553,751
2019/05/17/23:52:54.829504,750
2019/05/17/23:52:54.847744,750
2019/05/17/23:52:54.865807,750
2019/05/17/23:52:54.883329,750
2019/05/17/23:52:54.900533,751
2019/05/17/23:52:54.918422,751
2019/05/17/23:52:54.935620,750
2019/05/17/23:52:54.953772,750
2019/05/17/23:52:54.972289,750
2019/05/17/23:52:54.990170,749
2019/05/17/23:52:55.008575,749
2019/05/17/23:52:55.024318,749
2019/05/17/23:52:55.043475,749
2019/05/17/23:52:55.060648,748
2019/05/17/23:52:55.077388,748
2019/05/17/23:52:55.094855,748
2019/05/17/23:52:55.112032,748
2019/05/17/23:52:55.130403,748
2019/05/17/23:52:55.147311,748
2019/05/17/23:52:55.164351,748
2019/05/17/23:52:55.181481,749
2019/05/17/23:52:55.200402,749
2019/05/17/23:52:55.217530,748
2019/05/17/23:52:55.235194,748
2019/05/17/23:52:55.252386,748
2019/05/17/23:52:55.270278,748
2019/05/17/23:52:55.288440,748
2019/05/17/23:52:55.306250,748
2019/05/17/23:52:55.323456,748
2019/05/17/23:52:55.341290,748
2019/05/17/23:52:55.359532,748
2019/05/17/23:52:55.377764,748
2019/05/17/23:52:55.394540,749
2019/05/17/23:52:55.412667,749
2019/05/17/23:52:55.430295,749
2019/05/17/23:52:55.447989,749
2019/05/17/23:52:55.467165,748
2019/05/17/23:52:55.483955,748
2019/05/17/23:52:55.501307,748
2019/05/17/23:52:55.519358,748
2019/05/17/23:52:55.537597,748
2019/05/17/23:52:55.555477,747
2019/05/17/23:52:55.573746,747
2019/05/17/23:52:55.590664,747
2019/05/17/23:52:55.608394,747
2019/05/17/23:52:55.625256,747
2019/05/17/23:52:55.642378,749
2019/05/17/23:52:55.659289,749
2019/05/17/23:52:55.676466,749
2019/05/17/23:52:55.695439,748
2019/05/17/23:52:55.712408,748
2019/05/17/23:52:55.731387,749
2019/05/17/23:52:55.748454,749
2019/05/17/23:52:55.767729,749
2019/05/17/23:52:55.785686,749
2019/05/17/23:52:55.802446,750
2019/05/17/23:52:55.820602,750
2019/05/17/23:52:55.838345,750
2019/05/17/23:52:55.855405,749
2019/05/17/23:52:55.873315,749
2019/05/17/23:52:55.890485,749
2019/05/17/23:52:55.907648,749
2019/05/17/23:52:55.925454,749
2019/05/17/23:52:55.943630,748
2019/05/17/23:52:55.961449,748
2019/05/17/23:52:55.978457,748
2019/05/17/23:52:55.996467,748
2019/05/17/23:52:56.016155,747
2019/05/17/23:52:56.032679,747
2019/05/17/23:52:56.052003,747
2019/05/17/23:52:56.070224,747
2019/05/17/23:52:56.088346,747
2019/05/17/23:52:56.105907,747
2019/05/17/23:52:56.123841,749
2019/05/17/23:52:56.143153,751
2019/05/17/23:52:56.159880,751
2019/05/17/23:52:56.177891,751
2019/05/17/23:52:56.195344,750
2019/05/17/23:52:56.212597,751
2019/05/17/23:52:56.230262,751
2019/05/17/23:52:56.247486,750
2019/05/17/23:52:56.264328,750
2019/05/17/23:52:56.282263,752
2019/05/17/23:52:56.299391,751
2019/05/17/23:52:56.316561,751
2019/05/17/23:52:56.334599,751
2019/05/17/23:52:56.352674,750
2019/05/17/23:52:56.369887,750
2019/05/17/23:52:56.387825,752
2019/05/17/23:52:56.405986,752
2019/05/17/23:52:56.423130,752
2019/05/17/23:52:56.440257,752
2019/05/17/23:52:56.458447,752
2019/05/17/23:52:56.474923,751
2019/05/17/23:52:56.487671,751
2019/05/17/23:52:56.505276,751
2019/05/17/23:52:56.522324,753
2019/05/17/23:52:56.540464,753
2019/05/17/23:52:56.558723,752
2019/05/17/23:52:56.577014,754
2019/05/17/23:52:56.593986,754
2019/05/17/23:52:56.610528,753
2019/05/17/23:52:56.629353,753
2019/05/17/23:52:56.647609,752
2019/05/17/23:52:56.665252,753
2019/05/17/23:52:56.683629,752
2019/05/17/23:52:56.700298,753
2019/05/17/23:52:56.717598,753
2019/05/17/23:52:56.735986,752
2019/05/17/23:52:56.753911,752
2019/05/17/23:52:56.771470,751
2019/05/17/23:52:56.787302,751
2019/05/17/23:52:56.806479,751
2019/05/17/23:52:56.823253,751
2019/05/17/23:52:56.841451,751
2019/05/17/23:52:56.858545,750
2019/05/17/23:52:56.877128,750
2019/05/17/23:52:56.894222,750
2019/05/17/23:52:56.912032,750
2019/05/17/23:52:56.929173,750
2019/05/17/23:52:56.947226,749
2019/05/17/23:52:56.964575,751
2019/05/17/23:52:56.980596,751
2019/05/17/23:52:57.000015,753
2019/05/17/23:52:57.017140,752
2019/05/17/23:52:57.034259,751
2019/05/17/23:52:57.051415,751
2019/05/17/23:52:57.068506,751
2019/05/17/23:52:57.086359,751
2019/05/17/23:52:57.104024,752
2019/05/17/23:52:57.121400,752
2019/05/17/23:52:57.139019,751
2019/05/17/23:52:57.158107,751
2019/05/17/23:52:57.174786,752
2019/05/17/23:52:57.191760,753
2019/05/17/23:52:57.209478,753
2019/05/17/23:52:57.228043,752
2019/05/17/23:52:57.245227,752
2019/05/17/23:52:57.264793,754
2019/05/17/23:52:57.281735,753
2019/05/17/23:52:57.298741,753
2019/05/17/23:52:57.315796,752
2019/05/17/23:52:57.333974,752
2019/05/17/23:52:57.351793,752
2019/05/17/23:52:57.369444,754
2019/05/17/23:52:57.386429,753
2019/05/17/23:52:57.403477,753
2019/05/17/23:52:57.420654,752
2019/05/17/23:52:57.438459,752
2019/05/17/23:52:57.455589,751
2019/05/17/23:52:57.474527,751
2019/05/17/23:52:57.491650,751
2019/05/17/23:52:57.509367,751
2019/05/17/23:52:57.526617,753
2019/05/17/23:52:57.544818,753
2019/05/17/23:52:57.562424,752
2019/05/17/23:52:57.580369,752
2019/05/17/23:52:57.597537,751
2019/05/17/23:52:57.615992,751
2019/05/17/23:52:57.634389,751
2019/05/17/23:52:57.652675,750
2019/05/17/23:52:57.670761,750
2019/05/17/23:52:57.689080,750
2019/05/17/23:52:57.706182,750
2019/05/17/23:52:57.724999,749
2019/05/17/23:52:57.743208,749
2019/05/17/23:52:57.760241,749
2019/05/17/23:52:57.779202,749
2019/05/17/23:52:57.797403,749
2019/05/17/23:52:57.813411,749
2019/05/17/23:52:57.830511,749
2019/05/17/23:52:57.848140,748
2019/05/17/23:52:57.864804,748
2019/05/17/23:52:57.882311,748
2019/05/17/23:52:57.900530,748
2019/05/17/23:52:57.918166,748
2019/05/17/23:52:57.935375,748
2019/05/17/23:52:57.953240,748
2019/05/17/23:52:57.972487,748
2019/05/17/23:52:57.988274,748
2019/05/17/23:52:58.006558,750
2019/05/17/23:52:58.024852,750
2019/05/17/23:52:58.041756,750
2019/05/17/23:52:58.058807,749
2019/05/17/23:52:58.075892,749
2019/05/17/23:52:58.090442,749
2019/05/17/23:52:58.107396,751
2019/05/17/23:52:58.125522,751
2019/05/17/23:52:58.141555,750
2019/05/17/23:52:58.158740,750
2019/05/17/23:52:58.178000,750
2019/05/17/23:52:58.195919,750
2019/05/17/23:52:58.213396,749
2019/05/17/23:52:58.230510,749
2019/05/17/23:52:58.243260,749
2019/05/17/23:52:58.261432,749
2019/05/17/23:52:58.279569,749
2019/05/17/23:52:58.296527,748
2019/05/17/23:52:58.314585,750
2019/05/17/23:52:58.332248,750
2019/05/17/23:52:58.349248,752
2019/05/17/23:52:58.366334,751
2019/05/17/23:52:58.383287,753
2019/05/17/23:52:58.399972,753
2019/05/17/23:52:58.419048,752
2019/05/17/23:52:58.436934,752
2019/05/17/23:52:58.454334,751
2019/05/17/23:52:58.471121,751
2019/05/17/23:52:58.489417,751
2019/05/17/23:52:58.506461,750
2019/05/17/23:52:58.525392,750
2019/05/17/23:52:58.542410,750
2019/05/17/23:52:58.559440,751
2019/05/17/23:52:58.577618,751
2019/05/17/23:52:58.595370,750
2019/05/17/23:52:58.612685,750
2019/05/17/23:52:58.629713,750
2019/05/17/23:52:58.646810,751
2019/05/17/23:52:58.664990,751
2019/05/17/23:52:58.682015,750
2019/05/17/23:52:58.699097,750
2019/05/17/23:52:58.717363,749
2019/05/17/23:52:58.733634,751
2019/05/17/23:52:58.750560,750
2019/05/17/23:52:58.770009,750
2019/05/17/23:52:58.784577,750
2019/05/17/23:52:58.802614,749
2019/05/17/23:52:58.819034,749
2019/05/17/23:52:58.838137,749
2019/05/17/23:52:58.856321,749
2019/05/17/23:52:58.872793,748
2019/05/17/23:52:58.892490,748
2019/05/17/23:52:58.909243,749
2019/05/17/23:52:58.927543,748
2019/05/17/23:52:58.945357,748
2019/05/17/23:52:58.959368,748
2019/05/17/23:52:58.976497,748
2019/05/17/23:52:58.993419,748
2019/05/17/23:52:59.012542,747
2019/05/17/23:52:59.030663,747
2019/05/17/23:52:59.049035,747
2019/05/17/23:52:59.065566,749
2019/05/17/23:52:59.082506,749
2019/05/17/23:52:59.100612,749
2019/05/17/23:52:59.118764,748
2019/05/17/23:52:59.136621,748
2019/05/17/23:52:59.154548,748
2019/05/17/23:52:59.172978,748
2019/05/17/23:52:59.190916,748
2019/05/17/23:52:59.208145,748
2019/05/17/23:52:59.226253,748
2019/05/17/23:52:59.245283,750
2019/05/17/23:52:59.261336,749
2019/05/17/23:52:59.279264,749
2019/05/17/23:52:59.296527,749
2019/05/17/23:52:59.313480,749
2019/05/17/23:52:59.332770,751
2019/05/17/23:52:59.350028,750
2019/05/17/23:52:59.368361,750
2019/05/17/23:52:59.385298,750
2019/05/17/23:52:59.403572,751
2019/05/17/23:52:59.421982,750
2019/05/17/23:52:59.440192,750
2019/05/17/23:52:59.457440,750
2019/05/17/23:52:59.475079,750
2019/05/17/23:52:59.493401,749
2019/05/17/23:52:59.510302,749
2019/05/17/23:52:59.528572,749
2019/05/17/23:52:59.546250,749
2019/05/17/23:52:59.563445,749
2019/05/17/23:52:59.579701,748
2019/05/17/23:52:59.597423,748
2019/05/17/23:52:59.612463,748
2019/05/17/23:52:59.630387,748
2019/05/17/23:52:59.647494,750
2019/05/17/23:52:59.664617,750
2019/05/17/23:52:59.681615,749
2019/05/17/23:52:59.698628,749
2019/05/17/23:52:59.715461,749
2019/05/17/23:52:59.734740,749
2019/05/17/23:52:59.753984,751
2019/05/17/23:52:59.771424,750
2019/05/17/23:52:59.789474,750
2019/05/17/23:52:59.806806,750
2019/05/17/23:52:59.823958,749
2019/05/17/23:52:59.837497,750
2019/05/17/23:52:59.856790,749
2019/05/17/23:52:59.873375,752
2019/05/17/23:52:59.892250,752
2019/05/17/23:52:59.910213,751
2019/05/17/23:52:59.928337,752
2019/05/17/23:52:59.945478,751
2019/05/17/23:52:59.962495,753
2019/05/17/23:52:59.978410,752
2019/05/17/23:52:59.995446,752
2019/05/17/23:53:00.013700,751
2019/05/17/23:53:00.030722,753
2019/05/17/23:53:00.049399,755
2019/05/17/23:53:00.066387,757
2019/05/17/23:53:00.084414,756
2019/05/17/23:53:00.102746,755
2019/05/17/23:53:00.122023,755
2019/05/17/23:53:00.140272,754
2019/05/17/23:53:00.157084,756
2019/05/17/23:53:00.174306,755
2019/05/17/23:53:00.192412,756
2019/05/17/23:53:00.209617,760
2019/05/17/23:53:00.226287,759
2019/05/17/23:53:00.244290,758
2019/05/17/23:53:00.261400,757
2019/05/17/23:53:00.278634,759
2019/05/17/23:53:00.296979,760
2019/05/17/23:53:00.315093,759
2019/05/17/23:53:00.333417,758
2019/05/17/23:53:00.350312,758
2019/05/17/23:53:00.368446,757
2019/05/17/23:53:00.386663,756
2019/05/17/23:53:00.404778,755
2019/05/17/23:53:00.421932,757
2019/05/17/23:53:00.439073,756
2019/05/17/23:53:00.457592,755
2019/05/17/23:53:00.474297,755
2019/05/17/23:53:00.491566,754
2019/05/17/23:53:00.509284,754
2019/05/17/23:53:00.528645,755
2019/05/17/23:53:00.546783,754
2019/05/17/23:53:00.564365,754
2019/05/17/23:53:00.581577,753
2019/05/17/23:53:00.599892,758
2019/05/17/23:53:00.617208,759
2019/05/17/23:53:00.635233,758
2019/05/17/23:53:00.651660,758
2019/05/17/23:53:00.669983,757
2019/05/17/23:53:00.686905,758
2019/05/17/23:53:00.704816,758
2019/05/17/23:53:00.722124,758
2019/05/17/23:53:00.739365,757
2019/05/17/23:53:00.756398,756
2019/05/17/23:53:00.773686,755
2019/05/17/23:53:00.793920,757
2019/05/17/23:53:00.812651,756
2019/05/17/23:53:00.828682,756
2019/05/17/23:53:00.846652,755
